t=,1, id=,B00, PRDE,actvstrat=,0.195671, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.466602, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.306011, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.374600, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.902807, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.463847, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.335084, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.908865, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.652999, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.115309, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.195671, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,0.463847, 
t=,3600, id=,B00, PRDE,actvstrat=,0.195671, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.466602, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.306011, actvprof=,0.082222, id=,B06, PRDE,actvstrat=,-0.374600, actvprof=,1.629167, id=,B08, PRDE,actvstrat=,-0.902807, actvprof=,2.571667, id=,S02, PRDE,actvstrat=,0.463847, actvprof=,0.945000, id=,S04, PRDE,actvstrat=,0.335084, actvprof=,0.007778, id=,S05, PRDE,actvstrat=,-0.908865, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.652999, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.115309, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.571667, best_B_strat=,-0.902807, best_S_id=,S02, best_S_prof=,0.945000, best_S_strat=,0.463847, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.204124, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.587666, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.735670, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.159903, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.645740, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.088577, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.536147, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.044518, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.333778, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.604446, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.204124, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,-0.088577, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.204124, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.587666, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.735670, actvprof=,0.005000, id=,B06, PRDE,actvstrat=,-0.159903, actvprof=,0.543604, id=,B08, PRDE,actvstrat=,0.645740, actvprof=,5.090485, id=,S02, PRDE,actvstrat=,-0.088577, actvprof=,0.725545, id=,S04, PRDE,actvstrat=,0.536147, actvprof=,0.203608, id=,S05, PRDE,actvstrat=,0.044518, actvprof=,0.000278, id=,S07, PRDE,actvstrat=,-0.333778, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.604446, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.090485, best_B_strat=,0.645740, best_S_id=,S02, best_S_prof=,0.725545, best_S_strat=,-0.088577, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.048176, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.868598, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.401229, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.314929, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.645740, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.771375, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.838393, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.706341, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.156019, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.936383, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.048176, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,0.771375, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.048176, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.868598, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.401229, actvprof=,0.025278, id=,B06, PRDE,actvstrat=,0.314929, actvprof=,1.376389, id=,B08, PRDE,actvstrat=,0.645740, actvprof=,5.106111, id=,S02, PRDE,actvstrat=,0.771375, actvprof=,3.065833, id=,S04, PRDE,actvstrat=,-0.838393, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.706341, actvprof=,0.021944, id=,S07, PRDE,actvstrat=,0.156019, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.936383, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.106111, best_B_strat=,0.645740, best_S_id=,S02, best_S_prof=,3.065833, best_S_strat=,0.771375, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.048176, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.868598, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.401229, actvprof=,0.026111, id=,B06, PRDE,actvstrat=,0.314929, actvprof=,1.311528, id=,B08, PRDE,actvstrat=,0.645740, actvprof=,4.987361, id=,S02, PRDE,actvstrat=,0.771375, actvprof=,3.119722, id=,S04, PRDE,actvstrat=,-0.838393, actvprof=,0.004306, id=,S05, PRDE,actvstrat=,0.706341, actvprof=,0.030278, id=,S07, PRDE,actvstrat=,0.156019, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.936383, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.987361, best_B_strat=,0.645740, best_S_id=,S02, best_S_prof=,3.119722, best_S_strat=,0.771375, 
t=,25200, id=,B00, PRDE,actvstrat=,0.385599, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.587666, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.233869, actvprof=,0.002778, id=,B06, PRDE,actvstrat=,0.921530, actvprof=,1.359463, id=,B08, PRDE,actvstrat=,0.472786, actvprof=,3.783108, id=,S02, PRDE,actvstrat=,0.403487, actvprof=,2.515590, id=,S04, PRDE,actvstrat=,0.096196, actvprof=,0.309449, id=,S05, PRDE,actvstrat=,-0.442012, actvprof=,0.003889, id=,S07, PRDE,actvstrat=,0.322910, actvprof=,0.000278, id=,S09, PRDE,actvstrat=,0.216929, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.783108, best_B_strat=,0.472786, best_S_id=,S02, best_S_prof=,2.515590, best_S_strat=,0.403487, 
t=,28800, id=,B00, PRDE,actvstrat=,0.385599, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.587666, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.233869, actvprof=,0.002917, id=,B06, PRDE,actvstrat=,0.921530, actvprof=,1.343204, id=,B08, PRDE,actvstrat=,0.472786, actvprof=,3.799610, id=,S02, PRDE,actvstrat=,0.403487, actvprof=,2.571962, id=,S04, PRDE,actvstrat=,0.096196, actvprof=,0.329169, id=,S05, PRDE,actvstrat=,-0.442012, actvprof=,0.005694, id=,S07, PRDE,actvstrat=,0.322910, actvprof=,0.000139, id=,S09, PRDE,actvstrat=,0.216929, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.799610, best_B_strat=,0.472786, best_S_id=,S02, best_S_prof=,2.571962, best_S_strat=,0.403487, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.204124, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.356742, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.666486, actvprof=,0.025557, id=,B06, PRDE,actvstrat=,0.921530, actvprof=,1.550898, id=,B08, PRDE,actvstrat=,0.713805, actvprof=,4.397683, id=,S02, PRDE,actvstrat=,0.938379, actvprof=,4.472686, id=,S04, PRDE,actvstrat=,0.096196, actvprof=,0.260011, id=,S05, PRDE,actvstrat=,0.044518, actvprof=,0.023612, id=,S07, PRDE,actvstrat=,-0.493892, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.746436, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.397683, best_B_strat=,0.713805, best_S_id=,S02, best_S_prof=,4.472686, best_S_strat=,0.938379, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.204124, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.356742, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.666486, actvprof=,0.028334, id=,B06, PRDE,actvstrat=,0.921530, actvprof=,1.544188, id=,B08, PRDE,actvstrat=,0.713805, actvprof=,4.446867, id=,S02, PRDE,actvstrat=,0.938379, actvprof=,4.432978, id=,S04, PRDE,actvstrat=,0.096196, actvprof=,0.260420, id=,S05, PRDE,actvstrat=,0.044518, actvprof=,0.034167, id=,S07, PRDE,actvstrat=,-0.493892, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.746436, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.446867, best_B_strat=,0.713805, best_S_id=,S02, best_S_prof=,4.432978, best_S_strat=,0.938379, 
