t=,0, id=,B01, PRDE,actvstrat=,-0.803069, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.983158, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.674460, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.847679, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.602719, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.901568, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.536831, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.733011, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.747788, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.263616, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.803069, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.901568, 
t=,3600, id=,B01, PRDE,actvstrat=,-0.803069, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.983158, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.674460, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.847679, actvprof=,0.132500, id=,B09, PRDE,actvstrat=,-0.602719, actvprof=,4.360556, id=,S00, PRDE,actvstrat=,-0.901568, actvprof=,1.041944, id=,S02, PRDE,actvstrat=,-0.536831, actvprof=,1.014722, id=,S03, PRDE,actvstrat=,0.733011, actvprof=,1.626667, id=,S04, PRDE,actvstrat=,-0.747788, actvprof=,0.023611, id=,S07, PRDE,actvstrat=,-0.263616, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.360556, best_B_strat=,-0.602719, best_S_id=,S03, best_S_prof=,1.626667, best_S_strat=,0.733011, 
t=,7200, id=,B01, PRDE,actvstrat=,0.791060, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.511226, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.838787, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.446177, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.339590, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.441210, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.890368, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.862404, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.988393, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.396817, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.791060, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.441210, 
t=,10800, id=,B01, PRDE,actvstrat=,0.791060, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.511226, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.838787, actvprof=,0.011111, id=,B06, PRDE,actvstrat=,-0.446177, actvprof=,0.760545, id=,B09, PRDE,actvstrat=,0.339590, actvprof=,6.611297, id=,S00, PRDE,actvstrat=,-0.441210, actvprof=,2.875516, id=,S02, PRDE,actvstrat=,0.890368, actvprof=,3.067457, id=,S03, PRDE,actvstrat=,0.862404, actvprof=,1.330537, id=,S04, PRDE,actvstrat=,-0.988393, actvprof=,0.214164, id=,S07, PRDE,actvstrat=,-0.396817, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.611297, best_B_strat=,0.339590, best_S_id=,S02, best_S_prof=,3.067457, best_S_strat=,0.890368, 
t=,14400, id=,B01, PRDE,actvstrat=,0.375134, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.632797, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.655978, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.890142, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.626728, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.313454, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.919097, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.718288, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.298839, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.292075, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.375134, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.313454, 
t=,18000, id=,B01, PRDE,actvstrat=,0.375134, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.632797, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.655978, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.890142, actvprof=,0.043612, id=,B09, PRDE,actvstrat=,-0.626728, actvprof=,4.186725, id=,S00, PRDE,actvstrat=,0.313454, actvprof=,5.476465, id=,S02, PRDE,actvstrat=,-0.919097, actvprof=,0.076112, id=,S03, PRDE,actvstrat=,-0.718288, actvprof=,0.192225, id=,S04, PRDE,actvstrat=,-0.298839, actvprof=,0.025834, id=,S07, PRDE,actvstrat=,0.292075, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.186725, best_B_strat=,-0.626728, best_S_id=,S00, best_S_prof=,5.476465, best_S_strat=,0.313454, 
t=,21600, id=,B01, PRDE,actvstrat=,0.375134, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.632797, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.655978, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.890142, actvprof=,0.042084, id=,B09, PRDE,actvstrat=,-0.626728, actvprof=,4.134473, id=,S00, PRDE,actvstrat=,0.313454, actvprof=,5.374482, id=,S02, PRDE,actvstrat=,-0.919097, actvprof=,0.076667, id=,S03, PRDE,actvstrat=,-0.718288, actvprof=,0.195557, id=,S04, PRDE,actvstrat=,-0.298839, actvprof=,0.026667, id=,S07, PRDE,actvstrat=,0.292075, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.134473, best_B_strat=,-0.626728, best_S_id=,S00, best_S_prof=,5.374482, best_S_strat=,0.313454, 
t=,25200, id=,B01, PRDE,actvstrat=,0.691828, actvprof=,0.001389, id=,B02, PRDE,actvstrat=,-0.088389, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.729500, actvprof=,0.038612, id=,B06, PRDE,actvstrat=,0.765887, actvprof=,1.641157, id=,B09, PRDE,actvstrat=,-0.029812, actvprof=,4.937637, id=,S00, PRDE,actvstrat=,0.345505, actvprof=,5.080697, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.635379, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.083669, id=,S04, PRDE,actvstrat=,0.588665, actvprof=,0.351121, id=,S07, PRDE,actvstrat=,-0.561974, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.937637, best_B_strat=,-0.029812, best_S_id=,S00, best_S_prof=,5.080697, best_S_strat=,0.345505, 
t=,28800, id=,B01, PRDE,actvstrat=,0.691828, actvprof=,0.001250, id=,B02, PRDE,actvstrat=,-0.088389, actvprof=,0.000694, id=,B03, PRDE,actvstrat=,0.729500, actvprof=,0.049723, id=,B06, PRDE,actvstrat=,0.765887, actvprof=,1.673785, id=,B09, PRDE,actvstrat=,-0.029812, actvprof=,4.835656, id=,S00, PRDE,actvstrat=,0.345505, actvprof=,5.140663, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.630492, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.064071, id=,S04, PRDE,actvstrat=,0.588665, actvprof=,0.384869, id=,S07, PRDE,actvstrat=,-0.561974, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.835656, best_B_strat=,-0.029812, best_S_id=,S00, best_S_prof=,5.140663, best_S_strat=,0.345505, 
t=,32400, id=,B01, PRDE,actvstrat=,0.095963, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.710944, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.931828, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.446177, actvprof=,0.369187, id=,B09, PRDE,actvstrat=,-0.080967, actvprof=,4.880271, id=,S00, PRDE,actvstrat=,-0.269259, actvprof=,3.121007, id=,S02, PRDE,actvstrat=,-0.674093, actvprof=,0.655592, id=,S03, PRDE,actvstrat=,0.022431, actvprof=,0.761431, id=,S04, PRDE,actvstrat=,0.784369, actvprof=,0.447525, id=,S07, PRDE,actvstrat=,-0.396817, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.880271, best_B_strat=,-0.080967, best_S_id=,S00, best_S_prof=,3.121007, best_S_strat=,-0.269259, 
t=,36000, id=,B01, PRDE,actvstrat=,0.095963, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.710944, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.931828, actvprof=,0.000833, id=,B06, PRDE,actvstrat=,-0.446177, actvprof=,0.378622, id=,B09, PRDE,actvstrat=,-0.080967, actvprof=,4.925831, id=,S00, PRDE,actvstrat=,-0.269259, actvprof=,3.083975, id=,S02, PRDE,actvstrat=,-0.674093, actvprof=,0.588350, id=,S03, PRDE,actvstrat=,0.022431, actvprof=,0.720576, id=,S04, PRDE,actvstrat=,0.784369, actvprof=,0.424456, id=,S07, PRDE,actvstrat=,-0.396817, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.925831, best_B_strat=,-0.080967, best_S_id=,S00, best_S_prof=,3.083975, best_S_strat=,-0.269259, 
