t=,0, id=,B00, PRDE,actvstrat=,-0.463439, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.412750, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.892302, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.730758, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.009526, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.974103, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.465099, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.995439, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.368880, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.871879, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.463439, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.974103, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.463439, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.412750, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.892302, actvprof=,0.117778, id=,B07, PRDE,actvstrat=,-0.730758, actvprof=,1.690833, id=,B09, PRDE,actvstrat=,-0.009526, actvprof=,6.027778, id=,S00, PRDE,actvstrat=,-0.974103, actvprof=,0.130278, id=,S03, PRDE,actvstrat=,-0.465099, actvprof=,0.065000, id=,S04, PRDE,actvstrat=,-0.995439, actvprof=,0.252222, id=,S07, PRDE,actvstrat=,0.368880, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.871879, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.027778, best_B_strat=,-0.009526, best_S_id=,S04, best_S_prof=,0.252222, best_S_strat=,-0.995439, 
t=,7200, id=,B00, PRDE,actvstrat=,0.946326, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.077985, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.316445, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.600958, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.997722, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.981224, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.831516, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.647929, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.239993, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.628768, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.946326, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.981224, 
t=,10800, id=,B00, PRDE,actvstrat=,0.946326, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.077985, actvprof=,0.002500, id=,B06, PRDE,actvstrat=,-0.316445, actvprof=,0.266381, id=,B07, PRDE,actvstrat=,0.600958, actvprof=,2.645482, id=,B09, PRDE,actvstrat=,-0.997722, actvprof=,5.863726, id=,S00, PRDE,actvstrat=,0.981224, actvprof=,7.623677, id=,S03, PRDE,actvstrat=,-0.831516, actvprof=,0.073054, id=,S04, PRDE,actvstrat=,-0.647929, actvprof=,0.013611, id=,S07, PRDE,actvstrat=,-0.239993, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.628768, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.863726, best_B_strat=,-0.997722, best_S_id=,S00, best_S_prof=,7.623677, best_S_strat=,0.981224, 
t=,14400, id=,B00, PRDE,actvstrat=,0.946326, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.902569, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.591958, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.549070, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.267338, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.102161, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.896194, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.225487, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.512539, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.695377, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.946326, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.102161, 
t=,18000, id=,B00, PRDE,actvstrat=,0.946326, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.902569, actvprof=,0.004444, id=,B06, PRDE,actvstrat=,-0.591958, actvprof=,0.792778, id=,B07, PRDE,actvstrat=,-0.549070, actvprof=,1.995000, id=,B09, PRDE,actvstrat=,-0.267338, actvprof=,5.568611, id=,S00, PRDE,actvstrat=,0.102161, actvprof=,2.811667, id=,S03, PRDE,actvstrat=,0.896194, actvprof=,1.255278, id=,S04, PRDE,actvstrat=,0.225487, actvprof=,0.022778, id=,S07, PRDE,actvstrat=,0.512539, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.695377, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.568611, best_B_strat=,-0.267338, best_S_id=,S00, best_S_prof=,2.811667, best_S_strat=,0.102161, 
t=,21600, id=,B00, PRDE,actvstrat=,0.946326, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.902569, actvprof=,0.008472, id=,B06, PRDE,actvstrat=,-0.591958, actvprof=,0.799861, id=,B07, PRDE,actvstrat=,-0.549070, actvprof=,1.993750, id=,B09, PRDE,actvstrat=,-0.267338, actvprof=,5.480972, id=,S00, PRDE,actvstrat=,0.102161, actvprof=,2.919861, id=,S03, PRDE,actvstrat=,0.896194, actvprof=,1.254028, id=,S04, PRDE,actvstrat=,0.225487, actvprof=,0.026667, id=,S07, PRDE,actvstrat=,0.512539, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.695377, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.480972, best_B_strat=,-0.267338, best_S_id=,S00, best_S_prof=,2.919861, best_S_strat=,0.102161, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.018044, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.165863, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.883387, id=,B09, PRDE,actvstrat=,-0.573969, actvprof=,4.615342, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.290643, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.081696, id=,S04, PRDE,actvstrat=,0.507150, actvprof=,0.129446, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.748002, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.615342, best_B_strat=,-0.573969, best_S_id=,S00, best_S_prof=,6.290643, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.018044, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.194599, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.916833, id=,B09, PRDE,actvstrat=,-0.573969, actvprof=,4.600032, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.251988, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.061959, id=,S04, PRDE,actvstrat=,0.507150, actvprof=,0.142779, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.748002, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.600032, best_B_strat=,-0.573969, best_S_id=,S00, best_S_prof=,6.251988, best_S_strat=,-1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.739116, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.831342, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.572442, actvprof=,0.546396, id=,B07, PRDE,actvstrat=,0.772522, actvprof=,3.813942, id=,B09, PRDE,actvstrat=,-0.997722, actvprof=,6.571202, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.870637, id=,S03, PRDE,actvstrat=,0.838617, actvprof=,1.535577, id=,S04, PRDE,actvstrat=,0.386724, actvprof=,0.083334, id=,S07, PRDE,actvstrat=,0.340306, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.924353, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.571202, best_B_strat=,-0.997722, best_S_id=,S00, best_S_prof=,5.870637, best_S_strat=,-1.000000, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.739116, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.831342, actvprof=,0.000972, id=,B06, PRDE,actvstrat=,-0.572442, actvprof=,0.558897, id=,B07, PRDE,actvstrat=,0.772522, actvprof=,3.758663, id=,B09, PRDE,actvstrat=,-0.997722, actvprof=,6.657176, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.837998, id=,S03, PRDE,actvstrat=,0.838617, actvprof=,1.546133, id=,S04, PRDE,actvstrat=,0.386724, actvprof=,0.076529, id=,S07, PRDE,actvstrat=,0.340306, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.924353, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.657176, best_B_strat=,-0.997722, best_S_id=,S00, best_S_prof=,5.837998, best_S_strat=,-1.000000, 
