t=,0, id=,B01, PRDE,actvstrat=,-0.571487, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.051467, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.522485, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.103541, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.942623, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.428385, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.433583, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.739454, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.187542, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.517059, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.571487, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.428385, 
t=,3600, id=,B01, PRDE,actvstrat=,-0.571487, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.051467, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.522485, actvprof=,0.015556, id=,B04, PRDE,actvstrat=,0.103541, actvprof=,0.068056, id=,B08, PRDE,actvstrat=,0.942623, actvprof=,5.526111, id=,S00, PRDE,actvstrat=,0.428385, actvprof=,5.627500, id=,S02, PRDE,actvstrat=,-0.433583, actvprof=,1.515833, id=,S03, PRDE,actvstrat=,0.739454, actvprof=,1.463889, id=,S04, PRDE,actvstrat=,0.187542, actvprof=,0.249722, id=,S06, PRDE,actvstrat=,0.517059, actvprof=,0.025000, best_B_id=,B08, best_B_prof=,5.526111, best_B_strat=,0.942623, best_S_id=,S00, best_S_prof=,5.627500, best_S_strat=,0.428385, 
t=,7200, id=,B01, PRDE,actvstrat=,-0.533302, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.242068, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.106279, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.824010, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.812615, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.683721, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.004037, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.071221, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.934655, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.893990, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.533302, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.683721, 
t=,10800, id=,B01, PRDE,actvstrat=,-0.533302, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.242068, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.106279, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.824010, actvprof=,0.012500, id=,B08, PRDE,actvstrat=,-0.812615, actvprof=,3.111068, id=,S00, PRDE,actvstrat=,-0.683721, actvprof=,2.955515, id=,S02, PRDE,actvstrat=,0.004037, actvprof=,1.498590, id=,S03, PRDE,actvstrat=,-0.071221, actvprof=,0.208608, id=,S04, PRDE,actvstrat=,0.934655, actvprof=,0.078888, id=,S06, PRDE,actvstrat=,0.893990, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.111068, best_B_strat=,-0.812615, best_S_id=,S00, best_S_prof=,2.955515, best_S_strat=,-0.683721, 
t=,14400, id=,B01, PRDE,actvstrat=,-0.533302, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.548552, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.522485, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.431678, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.455026, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.683721, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.004037, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.278663, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.449356, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.630042, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.533302, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.683721, 
t=,18000, id=,B01, PRDE,actvstrat=,-0.533302, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.548552, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.522485, actvprof=,0.002778, id=,B04, PRDE,actvstrat=,0.431678, actvprof=,0.020278, id=,B08, PRDE,actvstrat=,-0.455026, actvprof=,3.036111, id=,S00, PRDE,actvstrat=,-0.683721, actvprof=,4.138056, id=,S02, PRDE,actvstrat=,0.004037, actvprof=,2.346944, id=,S03, PRDE,actvstrat=,0.278663, actvprof=,1.114444, id=,S04, PRDE,actvstrat=,-0.449356, actvprof=,0.051389, id=,S06, PRDE,actvstrat=,0.630042, actvprof=,0.002222, best_B_id=,B08, best_B_prof=,3.036111, best_B_strat=,-0.455026, best_S_id=,S00, best_S_prof=,4.138056, best_S_strat=,-0.683721, 
t=,21600, id=,B01, PRDE,actvstrat=,-0.533302, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.548552, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.522485, actvprof=,0.001389, id=,B04, PRDE,actvstrat=,0.431678, actvprof=,0.024722, id=,B08, PRDE,actvstrat=,-0.455026, actvprof=,3.009583, id=,S00, PRDE,actvstrat=,-0.683721, actvprof=,4.122639, id=,S02, PRDE,actvstrat=,0.004037, actvprof=,2.370556, id=,S03, PRDE,actvstrat=,0.278663, actvprof=,1.175972, id=,S04, PRDE,actvstrat=,-0.449356, actvprof=,0.063194, id=,S06, PRDE,actvstrat=,0.630042, actvprof=,0.004583, best_B_id=,B08, best_B_prof=,3.009583, best_B_strat=,-0.455026, best_S_id=,S00, best_S_prof=,4.122639, best_S_strat=,-0.683721, 
t=,25200, id=,B01, PRDE,actvstrat=,-0.065887, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.671728, actvprof=,0.005556, id=,B03, PRDE,actvstrat=,0.480836, actvprof=,0.028612, id=,B04, PRDE,actvstrat=,-0.141646, actvprof=,0.059445, id=,B08, PRDE,actvstrat=,-0.710303, actvprof=,3.732552, id=,S00, PRDE,actvstrat=,0.606176, actvprof=,5.337574, id=,S02, PRDE,actvstrat=,0.408728, actvprof=,1.918916, id=,S03, PRDE,actvstrat=,0.739454, actvprof=,0.869179, id=,S04, PRDE,actvstrat=,0.725399, actvprof=,0.113613, id=,S06, PRDE,actvstrat=,0.903732, actvprof=,0.001111, best_B_id=,B08, best_B_prof=,3.732552, best_B_strat=,-0.710303, best_S_id=,S00, best_S_prof=,5.337574, best_S_strat=,0.606176, 
t=,28800, id=,B01, PRDE,actvstrat=,-0.065887, actvprof=,0.000556, id=,B02, PRDE,actvstrat=,0.671728, actvprof=,0.006944, id=,B03, PRDE,actvstrat=,0.480836, actvprof=,0.026667, id=,B04, PRDE,actvstrat=,-0.141646, actvprof=,0.055278, id=,B08, PRDE,actvstrat=,-0.710303, actvprof=,3.747943, id=,S00, PRDE,actvstrat=,0.606176, actvprof=,5.375454, id=,S02, PRDE,actvstrat=,0.408728, actvprof=,1.945430, id=,S03, PRDE,actvstrat=,0.739454, actvprof=,0.865839, id=,S04, PRDE,actvstrat=,0.725399, actvprof=,0.107779, id=,S06, PRDE,actvstrat=,0.903732, actvprof=,0.001528, best_B_id=,B08, best_B_prof=,3.747943, best_B_strat=,-0.710303, best_S_id=,S00, best_S_prof=,5.375454, best_S_strat=,0.606176, 
t=,32400, id=,B01, PRDE,actvstrat=,-0.065887, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.562479, actvprof=,0.000833, id=,B03, PRDE,actvstrat=,0.480836, actvprof=,0.008611, id=,B04, PRDE,actvstrat=,-0.141646, actvprof=,0.038334, id=,B08, PRDE,actvstrat=,-0.710303, actvprof=,3.464263, id=,S00, PRDE,actvstrat=,-0.414097, actvprof=,3.700658, id=,S02, PRDE,actvstrat=,0.408728, actvprof=,2.025056, id=,S03, PRDE,actvstrat=,0.725029, actvprof=,0.969749, id=,S04, PRDE,actvstrat=,0.187542, actvprof=,0.046946, id=,S06, PRDE,actvstrat=,0.903732, actvprof=,0.001111, best_B_id=,B08, best_B_prof=,3.464263, best_B_strat=,-0.710303, best_S_id=,S00, best_S_prof=,3.700658, best_S_strat=,-0.414097, 
t=,36000, id=,B01, PRDE,actvstrat=,-0.065887, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.562479, actvprof=,0.000417, id=,B03, PRDE,actvstrat=,0.480836, actvprof=,0.009028, id=,B04, PRDE,actvstrat=,-0.141646, actvprof=,0.042917, id=,B08, PRDE,actvstrat=,-0.710303, actvprof=,3.359769, id=,S00, PRDE,actvstrat=,-0.414097, actvprof=,3.719774, id=,S02, PRDE,actvstrat=,0.408728, actvprof=,2.107113, id=,S03, PRDE,actvstrat=,0.725029, actvprof=,1.003903, id=,S04, PRDE,actvstrat=,0.187542, actvprof=,0.062362, id=,S06, PRDE,actvstrat=,0.903732, actvprof=,0.000833, best_B_id=,B08, best_B_prof=,3.359769, best_B_strat=,-0.710303, best_S_id=,S00, best_S_prof=,3.719774, best_S_strat=,-0.414097, 
