t=,0, id=,B01, PRDE,actvstrat=,0.917964, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.445624, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.186310, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.646930, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.839487, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.258417, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.027204, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.510262, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.535760, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.005538, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.917964, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.258417, 
t=,3600, id=,B01, PRDE,actvstrat=,0.917964, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.445624, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.186310, actvprof=,0.351944, id=,B07, PRDE,actvstrat=,-0.646930, actvprof=,2.384444, id=,B09, PRDE,actvstrat=,0.839487, actvprof=,7.997500, id=,S00, PRDE,actvstrat=,-0.258417, actvprof=,1.011111, id=,S05, PRDE,actvstrat=,0.027204, actvprof=,0.021389, id=,S06, PRDE,actvstrat=,-0.510262, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.535760, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.005538, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.997500, best_B_strat=,0.839487, best_S_id=,S00, best_S_prof=,1.011111, best_S_strat=,-0.258417, 
t=,7200, id=,B01, PRDE,actvstrat=,0.862229, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.151340, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.410753, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.492745, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.299111, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.510438, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.455703, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.649834, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.122384, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.199251, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.862229, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.510438, 
t=,10800, id=,B01, PRDE,actvstrat=,0.862229, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.151340, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.410753, actvprof=,0.655824, id=,B07, PRDE,actvstrat=,-0.492745, actvprof=,2.012750, id=,B09, PRDE,actvstrat=,0.299111, actvprof=,6.321857, id=,S00, PRDE,actvstrat=,-0.510438, actvprof=,0.973042, id=,S05, PRDE,actvstrat=,0.455703, actvprof=,0.008889, id=,S06, PRDE,actvstrat=,-0.649834, actvprof=,0.001944, id=,S08, PRDE,actvstrat=,0.122384, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.199251, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.321857, best_B_strat=,0.299111, best_S_id=,S00, best_S_prof=,0.973042, best_S_strat=,-0.510438, 
t=,14400, id=,B01, PRDE,actvstrat=,-0.464745, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.900508, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.170121, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.839515, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.132632, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.510438, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.275145, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.338457, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.122384, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.713653, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.464745, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.510438, 
t=,18000, id=,B01, PRDE,actvstrat=,-0.464745, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.900508, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.170121, actvprof=,0.190280, id=,B07, PRDE,actvstrat=,0.839515, actvprof=,4.124502, id=,B09, PRDE,actvstrat=,-0.132632, actvprof=,5.266184, id=,S00, PRDE,actvstrat=,-0.510438, actvprof=,1.025292, id=,S05, PRDE,actvstrat=,-0.275145, actvprof=,0.005000, id=,S06, PRDE,actvstrat=,0.338457, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.122384, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.713653, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.266184, best_B_strat=,-0.132632, best_S_id=,S00, best_S_prof=,1.025292, best_S_strat=,-0.510438, 
t=,21600, id=,B01, PRDE,actvstrat=,-0.464745, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.900508, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.170121, actvprof=,0.207363, id=,B07, PRDE,actvstrat=,0.839515, actvprof=,4.177251, id=,B09, PRDE,actvstrat=,-0.132632, actvprof=,5.339898, id=,S00, PRDE,actvstrat=,-0.510438, actvprof=,1.104730, id=,S05, PRDE,actvstrat=,-0.275145, actvprof=,0.003333, id=,S06, PRDE,actvstrat=,0.338457, actvprof=,0.004722, id=,S08, PRDE,actvstrat=,0.122384, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.713653, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.339898, best_B_strat=,-0.132632, best_S_id=,S00, best_S_prof=,1.104730, best_S_strat=,-0.510438, 
t=,25200, id=,B01, PRDE,actvstrat=,-0.426545, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.787040, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.845780, actvprof=,0.206117, id=,B07, PRDE,actvstrat=,-0.598056, actvprof=,2.896747, id=,B09, PRDE,actvstrat=,0.826706, actvprof=,8.636907, id=,S00, PRDE,actvstrat=,0.113195, actvprof=,2.134782, id=,S05, PRDE,actvstrat=,-0.112500, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.005833, id=,S08, PRDE,actvstrat=,-0.975584, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.636907, best_B_strat=,0.826706, best_S_id=,S00, best_S_prof=,2.134782, best_S_strat=,0.113195, 
t=,28800, id=,B01, PRDE,actvstrat=,-0.426545, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.787040, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.845780, actvprof=,0.215281, id=,B07, PRDE,actvstrat=,-0.598056, actvprof=,2.971430, id=,B09, PRDE,actvstrat=,0.826706, actvprof=,8.748733, id=,S00, PRDE,actvstrat=,0.113195, actvprof=,2.150030, id=,S05, PRDE,actvstrat=,-0.112500, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.003611, id=,S08, PRDE,actvstrat=,-0.975584, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.748733, best_B_strat=,0.826706, best_S_id=,S00, best_S_prof=,2.150030, best_S_strat=,0.113195, 
t=,32400, id=,B01, PRDE,actvstrat=,0.105122, actvprof=,0.000278, id=,B02, PRDE,actvstrat=,-0.544379, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.410753, actvprof=,0.856135, id=,B07, PRDE,actvstrat=,-0.881651, actvprof=,1.056696, id=,B09, PRDE,actvstrat=,0.826706, actvprof=,7.976333, id=,S00, PRDE,actvstrat=,0.113195, actvprof=,2.529237, id=,S05, PRDE,actvstrat=,0.455703, actvprof=,0.005278, id=,S06, PRDE,actvstrat=,-0.599180, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.477433, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.776630, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.976333, best_B_strat=,0.826706, best_S_id=,S00, best_S_prof=,2.529237, best_S_strat=,0.113195, 
t=,36000, id=,B01, PRDE,actvstrat=,0.105122, actvprof=,0.000139, id=,B02, PRDE,actvstrat=,-0.544379, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.410753, actvprof=,0.896685, id=,B07, PRDE,actvstrat=,-0.881651, actvprof=,1.017660, id=,B09, PRDE,actvstrat=,0.826706, actvprof=,8.023917, id=,S00, PRDE,actvstrat=,0.113195, actvprof=,2.494358, id=,S05, PRDE,actvstrat=,0.455703, actvprof=,0.007917, id=,S06, PRDE,actvstrat=,-0.599180, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.477433, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.776630, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.023917, best_B_strat=,0.826706, best_S_id=,S00, best_S_prof=,2.494358, best_S_strat=,0.113195, 
