t=,1, id=,B00, PRDE,actvstrat=,-0.415439, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.152643, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.193078, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.571231, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.814091, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.745213, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.214711, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.283351, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.035873, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.501989, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.415439, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,0.745213, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.415439, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.152643, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.193078, actvprof=,0.027222, id=,B08, PRDE,actvstrat=,0.571231, actvprof=,5.537979, id=,B09, PRDE,actvstrat=,0.814091, actvprof=,7.559062, id=,S02, PRDE,actvstrat=,0.745213, actvprof=,2.517187, id=,S03, PRDE,actvstrat=,0.214711, actvprof=,0.532215, id=,S06, PRDE,actvstrat=,-0.283351, actvprof=,0.003611, id=,S07, PRDE,actvstrat=,-0.035873, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.501989, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.559062, best_B_strat=,0.814091, best_S_id=,S02, best_S_prof=,2.517187, best_S_strat=,0.745213, 
t=,7200, id=,B00, PRDE,actvstrat=,0.341158, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.725394, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.556342, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.531190, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.925880, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.518806, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.951782, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.652578, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.431855, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.131627, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.341158, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,-0.518806, 
t=,10800, id=,B00, PRDE,actvstrat=,0.341158, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.725394, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.556342, actvprof=,0.051388, id=,B08, PRDE,actvstrat=,0.531190, actvprof=,5.643255, id=,B09, PRDE,actvstrat=,0.925880, actvprof=,7.815169, id=,S02, PRDE,actvstrat=,-0.518806, actvprof=,0.254163, id=,S03, PRDE,actvstrat=,0.951782, actvprof=,1.404980, id=,S06, PRDE,actvstrat=,-0.652578, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.431855, actvprof=,0.001944, id=,S08, PRDE,actvstrat=,-0.131627, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.815169, best_B_strat=,0.925880, best_S_id=,S03, best_S_prof=,1.404980, best_S_strat=,0.951782, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.811299, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.618511, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.560383, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.613825, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.703911, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.472106, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.687156, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.652578, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.025026, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.634903, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.811299, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,-0.472106, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.811299, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.618511, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.560383, actvprof=,0.004167, id=,B08, PRDE,actvstrat=,-0.613825, actvprof=,3.416944, id=,B09, PRDE,actvstrat=,-0.703911, actvprof=,4.730556, id=,S02, PRDE,actvstrat=,-0.472106, actvprof=,0.359722, id=,S03, PRDE,actvstrat=,-0.687156, actvprof=,0.082222, id=,S06, PRDE,actvstrat=,-0.652578, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.025026, actvprof=,0.004167, id=,S08, PRDE,actvstrat=,-0.634903, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.730556, best_B_strat=,-0.703911, best_S_id=,S02, best_S_prof=,0.359722, best_S_strat=,-0.472106, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.811299, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.618511, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.560383, actvprof=,0.002639, id=,B08, PRDE,actvstrat=,-0.613825, actvprof=,3.257800, id=,B09, PRDE,actvstrat=,-0.703911, actvprof=,4.643088, id=,S02, PRDE,actvstrat=,-0.472106, actvprof=,0.378475, id=,S03, PRDE,actvstrat=,-0.687156, actvprof=,0.076806, id=,S06, PRDE,actvstrat=,-0.652578, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.025026, actvprof=,0.002083, id=,S08, PRDE,actvstrat=,-0.634903, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.643088, best_B_strat=,-0.703911, best_S_id=,S02, best_S_prof=,0.378475, best_S_strat=,-0.472106, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.158850, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.725394, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.556342, actvprof=,0.001944, id=,B08, PRDE,actvstrat=,-0.054252, actvprof=,4.167616, id=,B09, PRDE,actvstrat=,-0.050314, actvprof=,5.791828, id=,S02, PRDE,actvstrat=,-0.978355, actvprof=,0.138337, id=,S03, PRDE,actvstrat=,-0.974614, actvprof=,0.042779, id=,S06, PRDE,actvstrat=,0.876303, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.431855, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.584964, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.791828, best_B_strat=,-0.050314, best_S_id=,S02, best_S_prof=,0.138337, best_S_strat=,-0.978355, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.158850, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.725394, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.556342, actvprof=,0.001250, id=,B08, PRDE,actvstrat=,-0.054252, actvprof=,4.189086, id=,B09, PRDE,actvstrat=,-0.050314, actvprof=,5.666051, id=,S02, PRDE,actvstrat=,-0.978355, actvprof=,0.122224, id=,S03, PRDE,actvstrat=,-0.974614, actvprof=,0.033473, id=,S06, PRDE,actvstrat=,0.876303, actvprof=,0.000972, id=,S07, PRDE,actvstrat=,0.431855, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.584964, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.666051, best_B_strat=,-0.050314, best_S_id=,S02, best_S_prof=,0.122224, best_S_strat=,-0.978355, 
t=,32400, id=,B00, PRDE,actvstrat=,0.399452, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.203069, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.163303, actvprof=,0.086391, id=,B08, PRDE,actvstrat=,-0.054252, actvprof=,5.348760, id=,B09, PRDE,actvstrat=,0.925880, actvprof=,8.974416, id=,S02, PRDE,actvstrat=,0.786968, actvprof=,1.364205, id=,S03, PRDE,actvstrat=,0.909011, actvprof=,0.474735, id=,S06, PRDE,actvstrat=,0.876303, actvprof=,0.007500, id=,S07, PRDE,actvstrat=,-0.025026, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.267239, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.974416, best_B_strat=,0.925880, best_S_id=,S02, best_S_prof=,1.364205, best_S_strat=,0.786968, 
t=,36000, id=,B00, PRDE,actvstrat=,0.399452, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.203069, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.163303, actvprof=,0.095280, id=,B08, PRDE,actvstrat=,-0.054252, actvprof=,5.426224, id=,B09, PRDE,actvstrat=,0.925880, actvprof=,8.961437, id=,S02, PRDE,actvstrat=,0.786968, actvprof=,1.353778, id=,S03, PRDE,actvstrat=,0.909011, actvprof=,0.475843, id=,S06, PRDE,actvstrat=,0.876303, actvprof=,0.012084, id=,S07, PRDE,actvstrat=,-0.025026, actvprof=,0.000833, id=,S08, PRDE,actvstrat=,0.267239, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.961437, best_B_strat=,0.925880, best_S_id=,S02, best_S_prof=,1.353778, best_S_strat=,0.786968, 
