t=,1, id=,B00, PRDE,actvstrat=,-0.113789, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.957114, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.001499, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.035321, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.569693, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.299300, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.094780, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.012775, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.696793, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.211720, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.113789, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,0.299300, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.113789, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.957114, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.001499, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.035321, actvprof=,0.010555, id=,B09, PRDE,actvstrat=,0.569693, actvprof=,6.907682, id=,S02, PRDE,actvstrat=,0.299300, actvprof=,1.544145, id=,S03, PRDE,actvstrat=,-0.094780, actvprof=,0.119165, id=,S05, PRDE,actvstrat=,0.012775, actvprof=,0.006111, id=,S08, PRDE,actvstrat=,0.696793, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.211720, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.907682, best_B_strat=,0.569693, best_S_id=,S02, best_S_prof=,1.544145, best_S_strat=,0.299300, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.553947, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.022662, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.338855, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.929029, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.800391, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.266386, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.048377, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.232028, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.910192, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.605371, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.553947, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,-0.266386, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.553947, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.022662, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.338855, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.929029, actvprof=,0.002222, id=,B09, PRDE,actvstrat=,0.800391, actvprof=,6.601019, id=,S02, PRDE,actvstrat=,-0.266386, actvprof=,0.559714, id=,S03, PRDE,actvstrat=,-0.048377, actvprof=,0.320829, id=,S05, PRDE,actvstrat=,0.232028, actvprof=,0.011944, id=,S08, PRDE,actvstrat=,-0.910192, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.605371, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.601019, best_B_strat=,0.800391, best_S_id=,S02, best_S_prof=,0.559714, best_S_strat=,-0.266386, 
t=,14400, id=,B00, PRDE,actvstrat=,0.145810, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.670443, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.239498, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.302398, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.071485, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.299300, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.276812, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.232028, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.648923, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.605371, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.145810, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,0.299300, 
t=,18000, id=,B00, PRDE,actvstrat=,0.145810, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.670443, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.239498, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.302398, actvprof=,0.006667, id=,B09, PRDE,actvstrat=,0.071485, actvprof=,5.622778, id=,S02, PRDE,actvstrat=,0.299300, actvprof=,1.573056, id=,S03, PRDE,actvstrat=,-0.276812, actvprof=,0.101111, id=,S05, PRDE,actvstrat=,0.232028, actvprof=,0.015278, id=,S08, PRDE,actvstrat=,0.648923, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.605371, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.622778, best_B_strat=,0.071485, best_S_id=,S02, best_S_prof=,1.573056, best_S_strat=,0.299300, 
t=,21600, id=,B00, PRDE,actvstrat=,0.145810, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.670443, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.239498, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.302398, actvprof=,0.015139, id=,B09, PRDE,actvstrat=,0.071485, actvprof=,5.744167, id=,S02, PRDE,actvstrat=,0.299300, actvprof=,1.485417, id=,S03, PRDE,actvstrat=,-0.276812, actvprof=,0.079444, id=,S05, PRDE,actvstrat=,0.232028, actvprof=,0.008194, id=,S08, PRDE,actvstrat=,0.648923, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.605371, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.744167, best_B_strat=,0.071485, best_S_id=,S02, best_S_prof=,1.485417, best_S_strat=,0.299300, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.461508, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.001667, id=,B04, PRDE,actvstrat=,-0.303480, actvprof=,0.036389, id=,B09, PRDE,actvstrat=,0.396607, actvprof=,7.506111, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.792778, id=,S03, PRDE,actvstrat=,-0.710698, actvprof=,0.030833, id=,S05, PRDE,actvstrat=,0.167131, actvprof=,0.004444, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.704426, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.506111, best_B_strat=,0.396607, best_S_id=,S02, best_S_prof=,2.792778, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.461508, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000833, id=,B04, PRDE,actvstrat=,-0.303480, actvprof=,0.025834, id=,B09, PRDE,actvstrat=,0.396607, actvprof=,7.233522, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.019188, id=,S03, PRDE,actvstrat=,-0.710698, actvprof=,0.044723, id=,S05, PRDE,actvstrat=,0.167131, actvprof=,0.003750, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.704426, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.233522, best_B_strat=,0.396607, best_S_id=,S02, best_S_prof=,3.019188, best_S_strat=,-1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.607157, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.294740, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.692144, actvprof=,0.000556, id=,B04, PRDE,actvstrat=,-0.028217, actvprof=,0.060279, id=,B09, PRDE,actvstrat=,0.396607, actvprof=,6.759632, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.344260, id=,S03, PRDE,actvstrat=,-0.710698, actvprof=,0.038612, id=,S05, PRDE,actvstrat=,-0.717519, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.140812, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.512392, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.759632, best_B_strat=,0.396607, best_S_id=,S02, best_S_prof=,3.344260, best_S_strat=,-1.000000, 
t=,36000, id=,B00, PRDE,actvstrat=,0.607157, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.294740, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.692144, actvprof=,0.000694, id=,B04, PRDE,actvstrat=,-0.028217, actvprof=,0.048890, id=,B09, PRDE,actvstrat=,0.396607, actvprof=,6.769677, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.371019, id=,S03, PRDE,actvstrat=,-0.710698, actvprof=,0.054584, id=,S05, PRDE,actvstrat=,-0.717519, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.140812, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.512392, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.769677, best_B_strat=,0.396607, best_S_id=,S02, best_S_prof=,3.371019, best_S_strat=,-1.000000, 
