t=,1, id=,B01, PRDE,actvstrat=,-0.505136, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.023074, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.336935, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.709710, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.525812, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.672065, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.308187, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.860488, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.029175, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.121968, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.505136, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,-0.672065, 
t=,3600, id=,B01, PRDE,actvstrat=,-0.505136, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.023074, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.336935, actvprof=,0.100556, id=,B06, PRDE,actvstrat=,0.709710, actvprof=,1.355556, id=,B09, PRDE,actvstrat=,0.525812, actvprof=,5.821111, id=,S01, PRDE,actvstrat=,-0.672065, actvprof=,3.285278, id=,S04, PRDE,actvstrat=,-0.308187, actvprof=,0.100000, id=,S05, PRDE,actvstrat=,-0.860488, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.029175, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.121968, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.821111, best_B_strat=,0.525812, best_S_id=,S01, best_S_prof=,3.285278, best_S_strat=,-0.672065, 
t=,7200, id=,B01, PRDE,actvstrat=,-0.517024, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.308371, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.288925, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.587783, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.289620, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.453298, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.356958, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.940704, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.816795, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.095511, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.517024, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,0.453298, 
t=,10800, id=,B01, PRDE,actvstrat=,-0.517024, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.308371, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.288925, actvprof=,0.455549, id=,B06, PRDE,actvstrat=,-0.587783, actvprof=,1.315815, id=,B09, PRDE,actvstrat=,-0.289620, actvprof=,6.484632, id=,S01, PRDE,actvstrat=,0.453298, actvprof=,3.278288, id=,S04, PRDE,actvstrat=,-0.356958, actvprof=,0.000556, id=,S05, PRDE,actvstrat=,0.940704, actvprof=,0.038333, id=,S08, PRDE,actvstrat=,0.816795, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.095511, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.484632, best_B_strat=,-0.289620, best_S_id=,S01, best_S_prof=,3.278288, best_S_strat=,0.453298, 
t=,14400, id=,B01, PRDE,actvstrat=,0.139352, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.254198, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.620059, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.980072, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.112564, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.068910, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.308187, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.504243, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.267843, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.991929, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.139352, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,-0.068910, 
t=,18000, id=,B01, PRDE,actvstrat=,0.139352, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.254198, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.620059, actvprof=,0.712222, id=,B06, PRDE,actvstrat=,-0.980072, actvprof=,0.206944, id=,B09, PRDE,actvstrat=,0.112564, actvprof=,6.376389, id=,S01, PRDE,actvstrat=,-0.068910, actvprof=,2.386667, id=,S04, PRDE,actvstrat=,-0.308187, actvprof=,0.029722, id=,S05, PRDE,actvstrat=,-0.504243, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.267843, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.991929, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.376389, best_B_strat=,0.112564, best_S_id=,S01, best_S_prof=,2.386667, best_S_strat=,-0.068910, 
t=,21600, id=,B01, PRDE,actvstrat=,0.139352, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.254198, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.620059, actvprof=,0.725833, id=,B06, PRDE,actvstrat=,-0.980072, actvprof=,0.209444, id=,B09, PRDE,actvstrat=,0.112564, actvprof=,6.194444, id=,S01, PRDE,actvstrat=,-0.068910, actvprof=,2.502500, id=,S04, PRDE,actvstrat=,-0.308187, actvprof=,0.030278, id=,S05, PRDE,actvstrat=,-0.504243, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.267843, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.991929, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.194444, best_B_strat=,0.112564, best_S_id=,S01, best_S_prof=,2.502500, best_S_strat=,-0.068910, 
t=,25200, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.316425, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.847857, id=,B09, PRDE,actvstrat=,0.421274, actvprof=,6.969360, id=,S01, PRDE,actvstrat=,0.934136, actvprof=,5.011528, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.231673, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.032223, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.969360, best_B_strat=,0.421274, best_S_id=,S01, best_S_prof=,5.011528, best_S_strat=,0.934136, 
t=,28800, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.297101, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.854345, id=,B09, PRDE,actvstrat=,0.421274, actvprof=,6.868845, id=,S01, PRDE,actvstrat=,0.934136, actvprof=,4.992986, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.242781, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.034584, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.868845, best_B_strat=,0.421274, best_S_id=,S01, best_S_prof=,4.992986, best_S_strat=,0.934136, 
t=,32400, id=,B01, PRDE,actvstrat=,-0.517024, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.681354, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.555354, actvprof=,1.263386, id=,B06, PRDE,actvstrat=,-0.794444, actvprof=,0.912816, id=,B09, PRDE,actvstrat=,-0.062966, actvprof=,6.369988, id=,S01, PRDE,actvstrat=,0.934136, actvprof=,4.353515, id=,S04, PRDE,actvstrat=,0.066561, actvprof=,0.021390, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.017501, id=,S08, PRDE,actvstrat=,-0.575708, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.095511, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.369988, best_B_strat=,-0.062966, best_S_id=,S01, best_S_prof=,4.353515, best_S_strat=,0.934136, 
t=,36000, id=,B01, PRDE,actvstrat=,-0.517024, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.681354, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.555354, actvprof=,1.255026, id=,B06, PRDE,actvstrat=,-0.794444, actvprof=,0.901130, id=,B09, PRDE,actvstrat=,-0.062966, actvprof=,6.424578, id=,S01, PRDE,actvstrat=,0.934136, actvprof=,4.347868, id=,S04, PRDE,actvstrat=,0.066561, actvprof=,0.019862, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.016389, id=,S08, PRDE,actvstrat=,-0.575708, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.095511, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.424578, best_B_strat=,-0.062966, best_S_id=,S01, best_S_prof=,4.347868, best_S_strat=,0.934136, 
