t=,0, id=,B00, PRDE,actvstrat=,-0.892177, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.476352, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.017224, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.750228, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.371241, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.174061, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.530313, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.918022, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.340542, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.056809, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.892177, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.174061, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.892177, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.476352, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.017224, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.750228, actvprof=,0.032778, id=,B07, PRDE,actvstrat=,0.371241, actvprof=,4.142778, id=,S00, PRDE,actvstrat=,-0.174061, actvprof=,1.603611, id=,S03, PRDE,actvstrat=,0.530313, actvprof=,0.393333, id=,S05, PRDE,actvstrat=,0.918022, actvprof=,0.012500, id=,S06, PRDE,actvstrat=,-0.340542, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.056809, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.142778, best_B_strat=,0.371241, best_S_id=,S00, best_S_prof=,1.603611, best_S_strat=,-0.174061, 
t=,7200, id=,B00, PRDE,actvstrat=,0.951163, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.494286, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.376794, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.353305, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.413640, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.363654, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.661112, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.190687, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.423646, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.368655, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.951163, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.363654, 
t=,10800, id=,B00, PRDE,actvstrat=,0.951163, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.494286, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.376794, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.353305, actvprof=,0.072499, id=,B07, PRDE,actvstrat=,-0.413640, actvprof=,2.918571, id=,S00, PRDE,actvstrat=,-0.363654, actvprof=,1.011097, id=,S03, PRDE,actvstrat=,0.661112, actvprof=,0.361384, id=,S05, PRDE,actvstrat=,0.190687, actvprof=,0.001667, id=,S06, PRDE,actvstrat=,0.423646, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.368655, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.918571, best_B_strat=,-0.413640, best_S_id=,S00, best_S_prof=,1.011097, best_S_strat=,-0.363654, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.418859, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.494286, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.813502, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.003804, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.003361, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.038413, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.881871, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.867532, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.902200, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.368655, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.418859, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.038413, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.418859, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.494286, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.813502, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.003804, actvprof=,0.029167, id=,B07, PRDE,actvstrat=,-0.003361, actvprof=,2.910000, id=,S00, PRDE,actvstrat=,0.038413, actvprof=,3.167500, id=,S03, PRDE,actvstrat=,-0.881871, actvprof=,0.003611, id=,S05, PRDE,actvstrat=,0.867532, actvprof=,0.009444, id=,S06, PRDE,actvstrat=,0.902200, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.368655, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.910000, best_B_strat=,-0.003361, best_S_id=,S00, best_S_prof=,3.167500, best_S_strat=,0.038413, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.418859, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.494286, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.813502, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.003804, actvprof=,0.034306, id=,B07, PRDE,actvstrat=,-0.003361, actvprof=,2.820278, id=,S00, PRDE,actvstrat=,0.038413, actvprof=,3.217222, id=,S03, PRDE,actvstrat=,-0.881871, actvprof=,0.003889, id=,S05, PRDE,actvstrat=,0.867532, actvprof=,0.008611, id=,S06, PRDE,actvstrat=,0.902200, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.368655, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.820278, best_B_strat=,-0.003361, best_S_id=,S00, best_S_prof=,3.217222, best_S_strat=,0.038413, 
t=,25200, id=,B00, PRDE,actvstrat=,0.655969, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.420597, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.476370, actvprof=,0.042778, id=,B04, PRDE,actvstrat=,-0.572883, actvprof=,0.406672, id=,B07, PRDE,actvstrat=,-0.569491, actvprof=,4.602008, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,3.713385, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.091946, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.001667, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.602008, best_B_strat=,-0.569491, best_S_id=,S00, best_S_prof=,3.713385, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.655969, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.420597, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.476370, actvprof=,0.049306, id=,B04, PRDE,actvstrat=,-0.572883, actvprof=,0.453614, id=,B07, PRDE,actvstrat=,-0.569491, actvprof=,4.680866, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,3.675164, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.099028, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.001111, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.680866, best_B_strat=,-0.569491, best_S_id=,S00, best_S_prof=,3.675164, best_S_strat=,-1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.934972, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.420597, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.017224, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,-0.559251, actvprof=,0.168063, id=,B07, PRDE,actvstrat=,-0.465620, actvprof=,3.622929, id=,S00, PRDE,actvstrat=,0.283165, actvprof=,2.362876, id=,S03, PRDE,actvstrat=,0.859586, actvprof=,0.278067, id=,S05, PRDE,actvstrat=,0.918022, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.423646, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.192174, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.622929, best_B_strat=,-0.465620, best_S_id=,S00, best_S_prof=,2.362876, best_S_strat=,0.283165, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.934972, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.420597, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.017224, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,-0.559251, actvprof=,0.155003, id=,B07, PRDE,actvstrat=,-0.465620, actvprof=,3.681049, id=,S00, PRDE,actvstrat=,0.283165, actvprof=,2.534636, id=,S03, PRDE,actvstrat=,0.859586, actvprof=,0.349035, id=,S05, PRDE,actvstrat=,0.918022, actvprof=,0.001111, id=,S06, PRDE,actvstrat=,0.423646, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.192174, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.681049, best_B_strat=,-0.465620, best_S_id=,S00, best_S_prof=,2.534636, best_S_strat=,0.283165, 
