B00, 0
B01, 7
B01, Trade, 1051196.750, 68, B01, S01, 1
B01, Trade, 1673370.051, 68, B01, S01, 1
B01, Trade, 2685054.599, 68, B01, S01, 1
B01, Trade, 2696911.399, 68, B01, S01, 1
B01, Trade, 3467365.746, 68, B01, S01, 1
B01, Trade, 3713132.895, 68, B01, S01, 1
B01, Trade, 3935867.045, 68, B01, S01, 1
B02, 100
B02, Trade, 3937146.995, 75, B02, S01, 1
B02, Trade, 3958451.394, 77, B02, S01, 1
B02, Trade, 3959376.094, 74, B02, S01, 1
B02, Trade, 3975331.844, 77, B02, S02, 1
B02, Trade, 3976887.444, 75, B02, S01, 1
B02, Trade, 3988911.844, 73, B02, S01, 1
B02, Trade, 3990117.994, 76, B02, S01, 1
B02, Trade, 4006446.144, 69, S01, B02, 1
B02, Trade, 4007379.994, 77, B02, S01, 1
B02, Trade, 4021353.444, 69, S01, B02, 1
B02, Trade, 4022189.044, 73, B02, S01, 1
B02, Trade, 4025584.294, 74, S01, B02, 1
B02, Trade, 4026711.194, 72, B02, S01, 1
B02, Trade, 4028962.594, 77, B02, S01, 1
B02, Trade, 4030089.994, 77, B02, S01, 1
B02, Trade, 4030313.644, 77, B02, S01, 1
B02, Trade, 4031412.594, 77, B02, S01, 1
B02, Trade, 4032425.144, 75, B02, S01, 1
B02, Trade, 4046123.894, 75, B02, S01, 1
B02, Trade, 4053703.444, 73, B02, S01, 1
B02, Trade, 4056470.594, 77, B02, S01, 1
B02, Trade, 4057840.844, 72, S01, B02, 1
B02, Trade, 4058765.294, 72, B02, S01, 1
B02, Trade, 4059202.744, 77, B02, S01, 1
B02, Trade, 4059311.244, 73, S01, B02, 1
B02, Trade, 4071238.194, 75, B02, S01, 1
B02, Trade, 4071605.144, 77, S01, B02, 1
B02, Trade, 4074104.594, 74, S01, B02, 1
B02, Trade, 4077759.744, 72, B02, S01, 1
B02, Trade, 4079563.444, 76, B02, S01, 1
B02, Trade, 4081993.294, 76, B02, S01, 1
B02, Trade, 4086194.044, 71, B02, S01, 1
B02, Trade, 4088384.644, 77, B02, S01, 1
B02, Trade, 4097961.894, 76, S00, B02, 1
B02, Trade, 4098713.094, 72, S01, B02, 1
B02, Trade, 4103256.594, 77, B02, S01, 1
B02, Trade, 4107487.044, 75, B02, S01, 1
B02, Trade, 4113355.094, 69, B02, S01, 1
B02, Trade, 4118538.444, 73, S01, B02, 1
B02, Trade, 4120900.644, 71, B02, S01, 1
B02, Trade, 4122230.694, 71, S01, B02, 1
B02, Trade, 4122234.944, 68, B02, S01, 1
B02, Trade, 4123139.794, 77, S02, B02, 1
B02, Trade, 4128840.694, 68, S00, B02, 1
B02, Trade, 4129561.544, 74, B02, S01, 1
B02, Trade, 4129882.844, 75, B02, S01, 1
B02, Trade, 4131115.594, 72, B02, S01, 1
B02, Trade, 4131221.794, 68, S01, B02, 1
B02, Trade, 4131608.294, 77, B02, S01, 1
B02, Trade, 4131991.144, 75, B02, S01, 1
B02, Trade, 4133272.294, 77, B02, S01, 1
B02, Trade, 4133935.344, 71, B02, S01, 1
B02, Trade, 4135711.144, 76, B02, S01, 1
B02, Trade, 4136121.644, 74, S01, B02, 1
B02, Trade, 4138382.444, 76, B02, S01, 1
B02, Trade, 4138723.044, 72, B02, S01, 1
B02, Trade, 4149681.744, 72, B02, S01, 1
B02, Trade, 4151151.944, 72, B02, S01, 1
B02, Trade, 4151479.394, 72, B02, S01, 1
B02, Trade, 4152269.594, 70, B02, S01, 1
B02, Trade, 4153507.944, 75, B02, S01, 1
B02, Trade, 4153827.544, 75, B02, S01, 1
B02, Trade, 4155784.144, 71, B02, S01, 1
B02, Trade, 4158249.594, 77, B02, S01, 1
B02, Trade, 4158609.444, 74, B02, S01, 1
B02, Trade, 4161536.844, 74, B02, S01, 1
B02, Trade, 4168812.794, 72, B02, S01, 1
B02, Trade, 4176378.244, 77, B02, S01, 1
B02, Trade, 4180060.594, 72, B02, S01, 1
B02, Trade, 4180640.144, 71, S01, B02, 1
B02, Trade, 4184250.244, 74, S01, B02, 1
B02, Trade, 4185276.594, 69, B02, S01, 1
B02, Trade, 4186884.844, 71, B02, S01, 1
B02, Trade, 4188272.794, 74, B02, S01, 1
B02, Trade, 4189846.844, 76, B02, S01, 1
B02, Trade, 4202667.894, 77, B02, S01, 1
B02, Trade, 4205486.194, 73, S01, B02, 1
B02, Trade, 4209419.944, 68, S01, B02, 1
B02, Trade, 4211792.594, 74, B02, S01, 1
B02, Trade, 4222273.393, 77, B02, S01, 1
B02, Trade, 4226327.093, 72, S01, B02, 1
B02, Trade, 4227267.243, 76, B02, S01, 1
B02, Trade, 4234777.543, 77, B02, S02, 1
B02, Trade, 4235603.943, 71, B02, S01, 1
B02, Trade, 4235630.343, 72, S01, B02, 1
B02, Trade, 4237916.993, 68, S01, B02, 1
B02, Trade, 4243964.093, 75, B02, S01, 1
B02, Trade, 4251097.243, 77, B02, S02, 1
B02, Trade, 4252034.993, 77, B02, S01, 1
B02, Trade, 4264267.743, 76, B02, S01, 1
B02, Trade, 4267030.343, 69, B02, S01, 1
B02, Trade, 4279895.443, 77, B02, S01, 1
B02, Trade, 4284842.293, 74, B02, S01, 1
B02, Trade, 4286195.443, 76, B02, S01, 1
B02, Trade, 4289726.743, 76, B02, S01, 1
B02, Trade, 4295294.293, 68, S01, B02, 1
B02, Trade, 4304268.593, 72, B02, S01, 1
B02, Trade, 4306438.893, 68, S01, B02, 1
B02, Trade, 4308219.143, 75, B02, S01, 1
B02, Trade, 4319706.393, 77, B02, S01, 1
B03, 100
B03, Trade, 4306299.993, 86, B03, S01, 1
B03, Trade, 4306444.943, 79, B03, S01, 1
B03, Trade, 4306504.443, 82, S00, B03, 1
B03, Trade, 4306533.593, 82, B03, S01, 1
B03, Trade, 4307108.793, 85, B03, S02, 1
B03, Trade, 4307128.443, 85, B03, S02, 1
B03, Trade, 4307285.343, 84, B03, S02, 1
B03, Trade, 4307380.293, 86, B03, S01, 1
B03, Trade, 4307536.743, 84, B03, S02, 1
B03, Trade, 4307788.993, 85, B03, S01, 1
B03, Trade, 4307973.043, 81, B03, S01, 1
B03, Trade, 4308145.943, 81, B03, S01, 1
B03, Trade, 4308688.993, 80, B03, S01, 1
B03, Trade, 4308900.843, 78, S01, B03, 1
B03, Trade, 4309222.893, 85, B03, S02, 1
B03, Trade, 4309286.093, 76, S01, B03, 1
B03, Trade, 4309574.943, 84, B03, S01, 1
B03, Trade, 4309732.293, 81, B03, S01, 1
B03, Trade, 4309836.493, 80, S00, B03, 1
B03, Trade, 4310103.593, 83, S00, B03, 1
B03, Trade, 4310168.543, 86, B03, S01, 1
B03, Trade, 4310255.143, 86, B03, S01, 1
B03, Trade, 4310400.143, 78, B03, S01, 1
B03, Trade, 4310439.093, 77, B03, S02, 1
