t=,1, id=,B01, PRDE,actvstrat=,-0.814707, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.619016, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.044926, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.281168, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.613478, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.553142, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.193252, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.440540, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.405816, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.679281, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.814707, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,-0.553142, 
t=,3600, id=,B01, PRDE,actvstrat=,-0.814707, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.619016, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.044926, actvprof=,1.189167, id=,B08, PRDE,actvstrat=,0.281168, actvprof=,4.717500, id=,B09, PRDE,actvstrat=,-0.613478, actvprof=,4.596667, id=,S01, PRDE,actvstrat=,-0.553142, actvprof=,0.697500, id=,S02, PRDE,actvstrat=,0.193252, actvprof=,1.217500, id=,S07, PRDE,actvstrat=,0.440540, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.405816, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.679281, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.717500, best_B_strat=,0.281168, best_S_id=,S02, best_S_prof=,1.217500, best_S_strat=,0.193252, 
t=,7200, id=,B01, PRDE,actvstrat=,0.571682, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.146914, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.153877, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.551984, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.275033, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.256249, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.633921, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.632898, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.479560, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.414922, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.571682, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,-0.256249, 
t=,10800, id=,B01, PRDE,actvstrat=,0.571682, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.146914, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.153877, actvprof=,0.626936, id=,B08, PRDE,actvstrat=,0.551984, actvprof=,4.896599, id=,B09, PRDE,actvstrat=,0.275033, actvprof=,6.129915, id=,S01, PRDE,actvstrat=,-0.256249, actvprof=,0.919154, id=,S02, PRDE,actvstrat=,-0.633921, actvprof=,0.253608, id=,S07, PRDE,actvstrat=,0.632898, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.479560, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.414922, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.129915, best_B_strat=,0.275033, best_S_id=,S01, best_S_prof=,0.919154, best_S_strat=,-0.256249, 
t=,14400, id=,B01, PRDE,actvstrat=,-0.634515, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.839138, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.690185, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.791167, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.022884, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.256249, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.390477, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.219694, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.727033, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.094478, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.634515, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,-0.256249, 
t=,18000, id=,B01, PRDE,actvstrat=,-0.634515, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.839138, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.690185, actvprof=,1.903585, id=,B08, PRDE,actvstrat=,-0.791167, actvprof=,2.238858, id=,B09, PRDE,actvstrat=,-0.022884, actvprof=,5.506590, id=,S01, PRDE,actvstrat=,-0.256249, actvprof=,0.598047, id=,S02, PRDE,actvstrat=,0.390477, actvprof=,1.644977, id=,S07, PRDE,actvstrat=,0.219694, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.727033, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.094478, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.506590, best_B_strat=,-0.022884, best_S_id=,S02, best_S_prof=,1.644977, best_S_strat=,0.390477, 
t=,21600, id=,B01, PRDE,actvstrat=,-0.634515, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.839138, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.690185, actvprof=,1.976542, id=,B08, PRDE,actvstrat=,-0.791167, actvprof=,2.240293, id=,B09, PRDE,actvstrat=,-0.022884, actvprof=,5.561289, id=,S01, PRDE,actvstrat=,-0.256249, actvprof=,0.632782, id=,S02, PRDE,actvstrat=,0.390477, actvprof=,1.540427, id=,S07, PRDE,actvstrat=,0.219694, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.727033, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.094478, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.561289, best_B_strat=,-0.022884, best_S_id=,S02, best_S_prof=,1.540427, best_S_strat=,0.390477, 
t=,25200, id=,B01, PRDE,actvstrat=,0.602239, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.912909, actvprof=,0.003889, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.921511, id=,B08, PRDE,actvstrat=,0.087291, actvprof=,4.791033, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.907274, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.748253, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.053461, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.627009, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.907274, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.748253, best_S_strat=,1.000000, 
t=,28800, id=,B01, PRDE,actvstrat=,0.602239, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.912909, actvprof=,0.001944, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.917839, id=,B08, PRDE,actvstrat=,0.087291, actvprof=,4.792183, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,8.011000, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.775099, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.041452, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.002361, id=,S08, PRDE,actvstrat=,-0.627009, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.011000, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.775099, best_S_strat=,1.000000, 
t=,32400, id=,B01, PRDE,actvstrat=,-0.601670, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.138431, actvprof=,0.000833, id=,B06, PRDE,actvstrat=,0.243715, actvprof=,1.552608, id=,B08, PRDE,actvstrat=,-0.074435, actvprof=,3.666921, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.621918, id=,S01, PRDE,actvstrat=,0.470422, actvprof=,2.368776, id=,S02, PRDE,actvstrat=,0.017604, actvprof=,0.800889, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.873477, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.631921, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.621918, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,2.368776, best_S_strat=,0.470422, 
t=,36000, id=,B01, PRDE,actvstrat=,-0.601670, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.138431, actvprof=,0.000417, id=,B06, PRDE,actvstrat=,0.243715, actvprof=,1.529914, id=,B08, PRDE,actvstrat=,-0.074435, actvprof=,3.748325, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.561790, id=,S01, PRDE,actvstrat=,0.470422, actvprof=,2.412028, id=,S02, PRDE,actvstrat=,0.017604, actvprof=,0.850863, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.873477, actvprof=,0.001250, id=,S09, PRDE,actvstrat=,-0.631921, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.561790, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,2.412028, best_S_strat=,0.470422, 
