t=,1, id=,B01, PRDE,actvstrat=,0.647667, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.300663, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.207691, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.425176, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.838341, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.209425, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.364001, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.519571, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.473699, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.711561, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.647667, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.209425, 
t=,3600, id=,B01, PRDE,actvstrat=,0.647667, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.300663, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.207691, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.425176, actvprof=,1.501389, id=,B07, PRDE,actvstrat=,-0.838341, actvprof=,0.832500, id=,S00, PRDE,actvstrat=,-0.209425, actvprof=,1.983333, id=,S01, PRDE,actvstrat=,0.364001, actvprof=,3.392500, id=,S03, PRDE,actvstrat=,0.519571, actvprof=,0.920833, id=,S05, PRDE,actvstrat=,0.473699, actvprof=,0.007222, id=,S07, PRDE,actvstrat=,0.711561, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.501389, best_B_strat=,0.425176, best_S_id=,S01, best_S_prof=,3.392500, best_S_strat=,0.364001, 
t=,7200, id=,B01, PRDE,actvstrat=,-0.031918, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.580872, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.833297, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.866221, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.223720, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.330594, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.063224, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.768998, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.122174, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.178902, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.031918, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.330594, 
t=,10800, id=,B01, PRDE,actvstrat=,-0.031918, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.580872, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.833297, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.866221, actvprof=,0.719990, id=,B07, PRDE,actvstrat=,-0.223720, actvprof=,0.659991, id=,S00, PRDE,actvstrat=,-0.330594, actvprof=,2.922737, id=,S01, PRDE,actvstrat=,-0.063224, actvprof=,2.587186, id=,S03, PRDE,actvstrat=,-0.768998, actvprof=,0.231108, id=,S05, PRDE,actvstrat=,0.122174, actvprof=,0.057499, id=,S07, PRDE,actvstrat=,-0.178902, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.719990, best_B_strat=,0.866221, best_S_id=,S00, best_S_prof=,2.922737, best_S_strat=,-0.330594, 
t=,14400, id=,B01, PRDE,actvstrat=,0.794646, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.290912, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.725214, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.617383, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.627262, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.701875, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.682464, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.704617, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.054832, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.454869, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.794646, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.701875, 
t=,18000, id=,B01, PRDE,actvstrat=,0.794646, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.290912, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.725214, actvprof=,0.003889, id=,B06, PRDE,actvstrat=,-0.617383, actvprof=,0.367227, id=,B07, PRDE,actvstrat=,0.627262, actvprof=,3.096432, id=,S00, PRDE,actvstrat=,0.701875, actvprof=,6.157030, id=,S01, PRDE,actvstrat=,0.682464, actvprof=,4.529507, id=,S03, PRDE,actvstrat=,-0.704617, actvprof=,0.086390, id=,S05, PRDE,actvstrat=,-0.054832, actvprof=,0.001944, id=,S07, PRDE,actvstrat=,0.454869, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.096432, best_B_strat=,0.627262, best_S_id=,S00, best_S_prof=,6.157030, best_S_strat=,0.701875, 
t=,21600, id=,B01, PRDE,actvstrat=,0.794646, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.290912, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.725214, actvprof=,0.005139, id=,B06, PRDE,actvstrat=,-0.617383, actvprof=,0.400281, id=,B07, PRDE,actvstrat=,0.627262, actvprof=,2.971132, id=,S00, PRDE,actvstrat=,0.701875, actvprof=,6.014764, id=,S01, PRDE,actvstrat=,0.682464, actvprof=,4.487531, id=,S03, PRDE,actvstrat=,-0.704617, actvprof=,0.101945, id=,S05, PRDE,actvstrat=,-0.054832, actvprof=,0.004028, id=,S07, PRDE,actvstrat=,0.454869, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.971132, best_B_strat=,0.627262, best_S_id=,S00, best_S_prof=,6.014764, best_S_strat=,0.701875, 
t=,25200, id=,B01, PRDE,actvstrat=,-0.624436, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.625565, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.548633, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.905318, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.922874, id=,S01, PRDE,actvstrat=,0.329162, actvprof=,3.503660, id=,S03, PRDE,actvstrat=,0.701244, actvprof=,2.001139, id=,S05, PRDE,actvstrat=,-0.108058, actvprof=,0.010833, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.905318, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.922874, best_S_strat=,-1.000000, 
t=,28800, id=,B01, PRDE,actvstrat=,-0.624436, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.625565, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.550299, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.897124, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.763427, id=,S01, PRDE,actvstrat=,0.329162, actvprof=,3.527827, id=,S03, PRDE,actvstrat=,0.701244, actvprof=,1.968916, id=,S05, PRDE,actvstrat=,-0.108058, actvprof=,0.010278, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.897124, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.763427, best_S_strat=,-1.000000, 
t=,32400, id=,B01, PRDE,actvstrat=,-0.031918, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.625565, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.697995, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.317030, actvprof=,0.302513, id=,B07, PRDE,actvstrat=,0.235754, actvprof=,2.231204, id=,S00, PRDE,actvstrat=,-0.882742, actvprof=,0.373904, id=,S01, PRDE,actvstrat=,0.329162, actvprof=,3.509868, id=,S03, PRDE,actvstrat=,-0.067638, actvprof=,0.337514, id=,S05, PRDE,actvstrat=,0.825599, actvprof=,0.025279, id=,S07, PRDE,actvstrat=,0.064957, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.231204, best_B_strat=,0.235754, best_S_id=,S01, best_S_prof=,3.509868, best_S_strat=,0.329162, 
t=,36000, id=,B01, PRDE,actvstrat=,-0.031918, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.625565, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.697995, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.317030, actvprof=,0.325007, id=,B07, PRDE,actvstrat=,0.235754, actvprof=,2.218935, id=,S00, PRDE,actvstrat=,-0.882742, actvprof=,0.327368, id=,S01, PRDE,actvstrat=,0.329162, actvprof=,3.464100, id=,S03, PRDE,actvstrat=,-0.067638, actvprof=,0.332368, id=,S05, PRDE,actvstrat=,0.825599, actvprof=,0.028889, id=,S07, PRDE,actvstrat=,0.064957, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.218935, best_B_strat=,0.235754, best_S_id=,S01, best_S_prof=,3.464100, best_S_strat=,0.329162, 
