t=,0, id=,B00, PRDE,actvstrat=,0.109386, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.330838, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.740409, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.898355, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.554271, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.784941, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.233672, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.080464, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.046033, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.481612, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.109386, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.784941, 
t=,3600, id=,B00, PRDE,actvstrat=,0.109386, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.330838, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.740409, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.898355, actvprof=,0.338333, id=,B08, PRDE,actvstrat=,-0.554271, actvprof=,2.626944, id=,S00, PRDE,actvstrat=,-0.784941, actvprof=,1.187500, id=,S01, PRDE,actvstrat=,-0.233672, actvprof=,1.310278, id=,S02, PRDE,actvstrat=,0.080464, actvprof=,1.436111, id=,S08, PRDE,actvstrat=,-0.046033, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.481612, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.626944, best_B_strat=,-0.554271, best_S_id=,S02, best_S_prof=,1.436111, best_S_strat=,0.080464, 
t=,7200, id=,B00, PRDE,actvstrat=,0.295349, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.530370, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.411519, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.397504, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.532419, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.926217, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.189598, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.259283, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.605593, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.297858, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.295349, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.926217, 
t=,10800, id=,B00, PRDE,actvstrat=,0.295349, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.530370, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.411519, actvprof=,0.004444, id=,B05, PRDE,actvstrat=,-0.397504, actvprof=,0.299163, id=,B08, PRDE,actvstrat=,0.532419, actvprof=,5.867974, id=,S00, PRDE,actvstrat=,0.926217, actvprof=,5.589645, id=,S01, PRDE,actvstrat=,0.189598, actvprof=,1.664977, id=,S02, PRDE,actvstrat=,-0.259283, actvprof=,0.159998, id=,S08, PRDE,actvstrat=,-0.605593, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.297858, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.867974, best_B_strat=,0.532419, best_S_id=,S00, best_S_prof=,5.589645, best_S_strat=,0.926217, 
t=,14400, id=,B00, PRDE,actvstrat=,0.036687, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.562762, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.075829, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.895572, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.584590, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.924299, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.964715, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.585581, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.860363, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.297858, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.036687, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.924299, 
t=,18000, id=,B00, PRDE,actvstrat=,0.036687, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.562762, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.075829, actvprof=,0.005000, id=,B05, PRDE,actvstrat=,-0.895572, actvprof=,0.093889, id=,B08, PRDE,actvstrat=,0.584590, actvprof=,6.520000, id=,S00, PRDE,actvstrat=,0.924299, actvprof=,4.832778, id=,S01, PRDE,actvstrat=,-0.964715, actvprof=,0.119444, id=,S02, PRDE,actvstrat=,0.585581, actvprof=,0.776944, id=,S08, PRDE,actvstrat=,-0.860363, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.297858, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.520000, best_B_strat=,0.584590, best_S_id=,S00, best_S_prof=,4.832778, best_S_strat=,0.924299, 
t=,21600, id=,B00, PRDE,actvstrat=,0.036687, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.562762, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.075829, actvprof=,0.005556, id=,B05, PRDE,actvstrat=,-0.895572, actvprof=,0.084028, id=,B08, PRDE,actvstrat=,0.584590, actvprof=,6.537361, id=,S00, PRDE,actvstrat=,0.924299, actvprof=,4.756667, id=,S01, PRDE,actvstrat=,-0.964715, actvprof=,0.123472, id=,S02, PRDE,actvstrat=,0.585581, actvprof=,0.734167, id=,S08, PRDE,actvstrat=,-0.860363, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.297858, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.537361, best_B_strat=,0.584590, best_S_id=,S00, best_S_prof=,4.756667, best_S_strat=,0.924299, 
t=,25200, id=,B00, PRDE,actvstrat=,0.358828, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.089462, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.830611, actvprof=,0.004722, id=,B05, PRDE,actvstrat=,-0.212253, actvprof=,0.312778, id=,B08, PRDE,actvstrat=,0.814125, actvprof=,6.351944, id=,S00, PRDE,actvstrat=,0.926217, actvprof=,5.448333, id=,S01, PRDE,actvstrat=,-0.728889, actvprof=,0.338333, id=,S02, PRDE,actvstrat=,0.080464, actvprof=,0.550000, id=,S08, PRDE,actvstrat=,-0.941519, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.060323, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.351944, best_B_strat=,0.814125, best_S_id=,S00, best_S_prof=,5.448333, best_S_strat=,0.926217, 
t=,28800, id=,B00, PRDE,actvstrat=,0.358828, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.089462, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.830611, actvprof=,0.004028, id=,B05, PRDE,actvstrat=,-0.212253, actvprof=,0.329863, id=,B08, PRDE,actvstrat=,0.814125, actvprof=,6.462962, id=,S00, PRDE,actvstrat=,0.926217, actvprof=,5.396565, id=,S01, PRDE,actvstrat=,-0.728889, actvprof=,0.329169, id=,S02, PRDE,actvstrat=,0.080464, actvprof=,0.563337, id=,S08, PRDE,actvstrat=,-0.941519, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.060323, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.462962, best_B_strat=,0.814125, best_S_id=,S00, best_S_prof=,5.396565, best_S_strat=,0.926217, 
t=,32400, id=,B00, PRDE,actvstrat=,0.719442, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.089462, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.411519, actvprof=,0.001111, id=,B05, PRDE,actvstrat=,0.911979, actvprof=,0.646694, id=,B08, PRDE,actvstrat=,-0.108827, actvprof=,3.348751, id=,S00, PRDE,actvstrat=,0.161436, actvprof=,3.509868, id=,S01, PRDE,actvstrat=,0.476258, actvprof=,3.422365, id=,S02, PRDE,actvstrat=,0.080464, actvprof=,1.300054, id=,S08, PRDE,actvstrat=,-0.941519, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.237725, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.348751, best_B_strat=,-0.108827, best_S_id=,S00, best_S_prof=,3.509868, best_S_strat=,0.161436, 
t=,36000, id=,B00, PRDE,actvstrat=,0.719442, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.089462, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.411519, actvprof=,0.000694, id=,B05, PRDE,actvstrat=,0.911979, actvprof=,0.722515, id=,B08, PRDE,actvstrat=,-0.108827, actvprof=,3.442572, id=,S00, PRDE,actvstrat=,0.161436, actvprof=,3.461600, id=,S01, PRDE,actvstrat=,0.476258, actvprof=,3.364515, id=,S02, PRDE,actvstrat=,0.080464, actvprof=,1.334472, id=,S08, PRDE,actvstrat=,-0.941519, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.237725, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.442572, best_B_strat=,-0.108827, best_S_id=,S00, best_S_prof=,3.461600, best_S_strat=,0.161436, 
