t=,1, id=,B01, PRDE,actvstrat=,-0.341318, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.651344, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.062152, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.187369, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.945935, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.334454, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.987420, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.818362, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.935583, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.720121, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.341318, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.334454, 
t=,3600, id=,B01, PRDE,actvstrat=,-0.341318, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.651344, actvprof=,0.251389, id=,B06, PRDE,actvstrat=,0.062152, actvprof=,1.641667, id=,B07, PRDE,actvstrat=,0.187369, actvprof=,3.143333, id=,B08, PRDE,actvstrat=,-0.945935, actvprof=,1.953889, id=,S00, PRDE,actvstrat=,-0.334454, actvprof=,3.641111, id=,S03, PRDE,actvstrat=,0.987420, actvprof=,1.323889, id=,S04, PRDE,actvstrat=,-0.818362, actvprof=,0.001667, id=,S06, PRDE,actvstrat=,0.935583, actvprof=,0.008056, id=,S07, PRDE,actvstrat=,-0.720121, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.143333, best_B_strat=,0.187369, best_S_id=,S00, best_S_prof=,3.641111, best_S_strat=,-0.334454, 
t=,7200, id=,B01, PRDE,actvstrat=,0.570317, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.700889, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.870854, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.431329, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.170311, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.098785, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.028949, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.538461, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.571956, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.385059, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.570317, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.098785, 
t=,10800, id=,B01, PRDE,actvstrat=,0.570317, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.700889, actvprof=,0.012778, id=,B06, PRDE,actvstrat=,-0.870854, actvprof=,0.259722, id=,B07, PRDE,actvstrat=,-0.431329, actvprof=,1.883889, id=,B08, PRDE,actvstrat=,0.170311, actvprof=,4.538333, id=,S00, PRDE,actvstrat=,0.098785, actvprof=,3.822222, id=,S03, PRDE,actvstrat=,-0.028949, actvprof=,0.278611, id=,S04, PRDE,actvstrat=,-0.538461, actvprof=,0.011944, id=,S06, PRDE,actvstrat=,0.571956, actvprof=,0.008333, id=,S07, PRDE,actvstrat=,0.385059, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.538333, best_B_strat=,0.170311, best_S_id=,S00, best_S_prof=,3.822222, best_S_strat=,0.098785, 
t=,14400, id=,B01, PRDE,actvstrat=,-0.159397, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.184984, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.347905, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.604127, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.170311, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.098785, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.284136, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.778012, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.571956, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.801919, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.159397, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.098785, 
t=,18000, id=,B01, PRDE,actvstrat=,-0.159397, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.184984, actvprof=,0.007222, id=,B06, PRDE,actvstrat=,-0.347905, actvprof=,0.428345, id=,B07, PRDE,actvstrat=,-0.604127, actvprof=,1.404761, id=,B08, PRDE,actvstrat=,0.170311, actvprof=,4.077335, id=,S00, PRDE,actvstrat=,0.098785, actvprof=,4.069002, id=,S03, PRDE,actvstrat=,-0.284136, actvprof=,0.206672, id=,S04, PRDE,actvstrat=,-0.778012, actvprof=,0.027501, id=,S06, PRDE,actvstrat=,0.571956, actvprof=,0.002778, id=,S07, PRDE,actvstrat=,0.801919, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.077335, best_B_strat=,0.170311, best_S_id=,S00, best_S_prof=,4.069002, best_S_strat=,0.098785, 
t=,21600, id=,B01, PRDE,actvstrat=,-0.159397, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.184984, actvprof=,0.005278, id=,B06, PRDE,actvstrat=,-0.347905, actvprof=,0.467920, id=,B07, PRDE,actvstrat=,-0.604127, actvprof=,1.476399, id=,B08, PRDE,actvstrat=,0.170311, actvprof=,3.977250, id=,S00, PRDE,actvstrat=,0.098785, actvprof=,4.009611, id=,S03, PRDE,actvstrat=,-0.284136, actvprof=,0.182501, id=,S04, PRDE,actvstrat=,-0.778012, actvprof=,0.020556, id=,S06, PRDE,actvstrat=,0.571956, actvprof=,0.003333, id=,S07, PRDE,actvstrat=,0.801919, actvprof=,0.001944, best_B_id=,B08, best_B_prof=,3.977250, best_B_strat=,0.170311, best_S_id=,S00, best_S_prof=,4.009611, best_S_strat=,0.098785, 
t=,25200, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.007500, id=,B06, PRDE,actvstrat=,-0.665754, actvprof=,0.257233, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.992625, id=,B08, PRDE,actvstrat=,0.758653, actvprof=,4.779921, id=,S00, PRDE,actvstrat=,0.882183, actvprof=,7.368085, id=,S03, PRDE,actvstrat=,-0.671490, actvprof=,0.156951, id=,S04, PRDE,actvstrat=,0.244455, actvprof=,0.224454, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.014445, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000833, best_B_id=,B08, best_B_prof=,4.779921, best_B_strat=,0.758653, best_S_id=,S00, best_S_prof=,7.368085, best_S_strat=,0.882183, 
t=,28800, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.008472, id=,B06, PRDE,actvstrat=,-0.665754, actvprof=,0.252922, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.991729, id=,B08, PRDE,actvstrat=,0.758653, actvprof=,4.717182, id=,S00, PRDE,actvstrat=,0.882183, actvprof=,7.365570, id=,S03, PRDE,actvstrat=,-0.671490, actvprof=,0.186671, id=,S04, PRDE,actvstrat=,0.244455, actvprof=,0.220977, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.022778, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000972, best_B_id=,B08, best_B_prof=,4.717182, best_B_strat=,0.758653, best_S_id=,S00, best_S_prof=,7.365570, best_S_strat=,0.882183, 
t=,32400, id=,B01, PRDE,actvstrat=,0.455490, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.705469, actvprof=,0.044170, id=,B06, PRDE,actvstrat=,-0.947551, actvprof=,0.275301, id=,B07, PRDE,actvstrat=,-0.560747, actvprof=,1.596522, id=,B08, PRDE,actvstrat=,0.758653, actvprof=,5.338500, id=,S00, PRDE,actvstrat=,0.882183, actvprof=,6.579715, id=,S03, PRDE,actvstrat=,-0.911283, actvprof=,0.054727, id=,S04, PRDE,actvstrat=,-0.021674, actvprof=,0.047226, id=,S06, PRDE,actvstrat=,0.404175, actvprof=,0.005834, id=,S07, PRDE,actvstrat=,0.926056, actvprof=,0.001945, best_B_id=,B08, best_B_prof=,5.338500, best_B_strat=,0.758653, best_S_id=,S00, best_S_prof=,6.579715, best_S_strat=,0.882183, 
t=,36000, id=,B01, PRDE,actvstrat=,0.455490, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.705469, actvprof=,0.041946, id=,B06, PRDE,actvstrat=,-0.947551, actvprof=,0.291957, id=,B07, PRDE,actvstrat=,-0.560747, actvprof=,1.556732, id=,B08, PRDE,actvstrat=,0.758653, actvprof=,5.428560, id=,S00, PRDE,actvstrat=,0.882183, actvprof=,6.546245, id=,S03, PRDE,actvstrat=,-0.911283, actvprof=,0.056808, id=,S04, PRDE,actvstrat=,-0.021674, actvprof=,0.046946, id=,S06, PRDE,actvstrat=,0.404175, actvprof=,0.006806, id=,S07, PRDE,actvstrat=,0.926056, actvprof=,0.000972, best_B_id=,B08, best_B_prof=,5.428560, best_B_strat=,0.758653, best_S_id=,S00, best_S_prof=,6.546245, best_S_strat=,0.882183, 
t=,39600, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.121776, actvprof=,0.132515, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.792366, id=,B07, PRDE,actvstrat=,-0.546686, actvprof=,3.058395, id=,B08, PRDE,actvstrat=,0.401133, actvprof=,6.345705, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,5.285309, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.607012, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.130848, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.002500, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.345705, best_B_strat=,0.401133, best_S_id=,S00, best_S_prof=,5.285309, best_S_strat=,1.000000, 
t=,43200, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,-0.121776, actvprof=,0.122368, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.658814, id=,B07, PRDE,actvstrat=,-0.546686, actvprof=,3.053781, id=,B08, PRDE,actvstrat=,0.401133, actvprof=,6.243541, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,5.315018, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.650453, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.134591, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.003472, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.243541, best_B_strat=,0.401133, best_S_id=,S00, best_S_prof=,5.315018, best_S_strat=,1.000000, 
t=,46800, id=,B01, PRDE,actvstrat=,0.847400, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.007779, id=,B06, PRDE,actvstrat=,0.184358, actvprof=,0.920936, id=,B07, PRDE,actvstrat=,0.529299, actvprof=,2.674464, id=,B08, PRDE,actvstrat=,0.029920, actvprof=,3.497889, id=,S00, PRDE,actvstrat=,-0.328788, actvprof=,2.476942, id=,S03, PRDE,actvstrat=,-0.784615, actvprof=,0.106401, id=,S04, PRDE,actvstrat=,0.817006, actvprof=,0.634515, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.018613, id=,S07, PRDE,actvstrat=,-0.666629, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.497889, best_B_strat=,0.029920, best_S_id=,S00, best_S_prof=,2.476942, best_S_strat=,-0.328788, 
