t=,0, id=,B01, PRDE,actvstrat=,0.034147, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.736874, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.080481, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.031349, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.588673, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.553062, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.087171, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.974322, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.848491, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.758671, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.034147, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,0.553062, 
t=,3600, id=,B01, PRDE,actvstrat=,0.034147, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.736874, actvprof=,0.071111, id=,B06, PRDE,actvstrat=,0.080481, actvprof=,0.934722, id=,B07, PRDE,actvstrat=,0.031349, actvprof=,2.347778, id=,B09, PRDE,actvstrat=,0.588673, actvprof=,6.470833, id=,S01, PRDE,actvstrat=,0.553062, actvprof=,3.189444, id=,S02, PRDE,actvstrat=,-0.087171, actvprof=,0.505833, id=,S04, PRDE,actvstrat=,-0.974322, actvprof=,0.160833, id=,S08, PRDE,actvstrat=,-0.848491, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.758671, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.470833, best_B_strat=,0.588673, best_S_id=,S01, best_S_prof=,3.189444, best_S_strat=,0.553062, 
t=,7200, id=,B01, PRDE,actvstrat=,-0.207395, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.085796, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.791323, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.417180, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.584363, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.011786, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.811625, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.928212, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.100949, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.921053, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.207395, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,0.011786, 
t=,10800, id=,B01, PRDE,actvstrat=,-0.207395, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.085796, actvprof=,0.116944, id=,B06, PRDE,actvstrat=,0.791323, actvprof=,1.865000, id=,B07, PRDE,actvstrat=,-0.417180, actvprof=,1.375833, id=,B09, PRDE,actvstrat=,0.584363, actvprof=,6.426667, id=,S01, PRDE,actvstrat=,0.011786, actvprof=,1.784444, id=,S02, PRDE,actvstrat=,0.811625, actvprof=,2.819167, id=,S04, PRDE,actvstrat=,-0.928212, actvprof=,0.008889, id=,S08, PRDE,actvstrat=,-0.100949, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.921053, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.426667, best_B_strat=,0.584363, best_S_id=,S02, best_S_prof=,2.819167, best_S_strat=,0.811625, 
t=,14400, id=,B01, PRDE,actvstrat=,-0.283172, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.259756, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.791323, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.154288, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.281107, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.400124, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.930595, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.955978, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.180478, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.318000, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.283172, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,0.400124, 
t=,18000, id=,B01, PRDE,actvstrat=,-0.283172, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.259756, actvprof=,0.074168, id=,B06, PRDE,actvstrat=,0.791323, actvprof=,1.301685, id=,B07, PRDE,actvstrat=,0.154288, actvprof=,1.819470, id=,B09, PRDE,actvstrat=,-0.281107, actvprof=,3.668384, id=,S01, PRDE,actvstrat=,0.400124, actvprof=,2.944208, id=,S02, PRDE,actvstrat=,-0.930595, actvprof=,0.011111, id=,S04, PRDE,actvstrat=,-0.955978, actvprof=,0.025834, id=,S08, PRDE,actvstrat=,-0.180478, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.318000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.668384, best_B_strat=,-0.281107, best_S_id=,S01, best_S_prof=,2.944208, best_S_strat=,0.400124, 
t=,21600, id=,B01, PRDE,actvstrat=,-0.283172, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.259756, actvprof=,0.080695, id=,B06, PRDE,actvstrat=,0.791323, actvprof=,1.300981, id=,B07, PRDE,actvstrat=,0.154288, actvprof=,1.829735, id=,B09, PRDE,actvstrat=,-0.281107, actvprof=,3.680442, id=,S01, PRDE,actvstrat=,0.400124, actvprof=,2.900437, id=,S02, PRDE,actvstrat=,-0.930595, actvprof=,0.005556, id=,S04, PRDE,actvstrat=,-0.955978, actvprof=,0.030278, id=,S08, PRDE,actvstrat=,-0.180478, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.318000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.680442, best_B_strat=,-0.281107, best_S_id=,S01, best_S_prof=,2.900437, best_S_strat=,0.400124, 
t=,25200, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.136698, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.529792, id=,B07, PRDE,actvstrat=,0.292568, actvprof=,3.308981, id=,B09, PRDE,actvstrat=,0.944807, actvprof=,7.651601, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.766799, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.140643, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.366677, id=,S08, PRDE,actvstrat=,0.272052, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.576544, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.651601, best_B_strat=,0.944807, best_S_id=,S01, best_S_prof=,4.766799, best_S_strat=,-1.000000, 
t=,28800, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.144877, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.532257, id=,B07, PRDE,actvstrat=,0.292568, actvprof=,3.308657, id=,B09, PRDE,actvstrat=,0.944807, actvprof=,7.695107, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.656176, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.134766, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.368061, id=,S08, PRDE,actvstrat=,0.272052, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.576544, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.695107, best_B_strat=,0.944807, best_S_id=,S01, best_S_prof=,4.656176, best_S_strat=,-1.000000, 
t=,32400, id=,B01, PRDE,actvstrat=,-0.207395, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.113642, actvprof=,0.418067, id=,B06, PRDE,actvstrat=,0.615322, actvprof=,2.492847, id=,B07, PRDE,actvstrat=,-0.775601, actvprof=,1.715603, id=,B09, PRDE,actvstrat=,0.021479, actvprof=,6.070724, id=,S01, PRDE,actvstrat=,0.929555, actvprof=,3.989277, id=,S02, PRDE,actvstrat=,0.972424, actvprof=,2.526459, id=,S04, PRDE,actvstrat=,0.716181, actvprof=,0.084169, id=,S08, PRDE,actvstrat=,0.658327, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.742498, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.070724, best_B_strat=,0.021479, best_S_id=,S01, best_S_prof=,3.989277, best_S_strat=,0.929555, 
t=,36000, id=,B01, PRDE,actvstrat=,-0.207395, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.113642, actvprof=,0.422228, id=,B06, PRDE,actvstrat=,0.615322, actvprof=,2.482396, id=,B07, PRDE,actvstrat=,-0.775601, actvprof=,1.748497, id=,B09, PRDE,actvstrat=,0.021479, actvprof=,6.254670, id=,S01, PRDE,actvstrat=,0.929555, actvprof=,4.003944, id=,S02, PRDE,actvstrat=,0.972424, actvprof=,2.540174, id=,S04, PRDE,actvstrat=,0.716181, actvprof=,0.098612, id=,S08, PRDE,actvstrat=,0.658327, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.742498, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.254670, best_B_strat=,0.021479, best_S_id=,S01, best_S_prof=,4.003944, best_S_strat=,0.929555, 
