t=,0, id=,B02, PRDE,actvstrat=,0.587065, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.156105, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.292440, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.171065, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.969088, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.550367, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.933112, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.406797, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.012064, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.655368, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,0.587065, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.550367, 
t=,3600, id=,B02, PRDE,actvstrat=,0.587065, actvprof=,0.000278, id=,B05, PRDE,actvstrat=,0.156105, actvprof=,0.854988, id=,B06, PRDE,actvstrat=,-0.292440, actvprof=,1.164984, id=,B08, PRDE,actvstrat=,0.171065, actvprof=,4.952987, id=,B09, PRDE,actvstrat=,0.969088, actvprof=,7.596839, id=,S00, PRDE,actvstrat=,0.550367, actvprof=,4.711879, id=,S03, PRDE,actvstrat=,0.933112, actvprof=,1.122762, id=,S05, PRDE,actvstrat=,-0.406797, actvprof=,0.047222, id=,S06, PRDE,actvstrat=,0.012064, actvprof=,0.029166, id=,S08, PRDE,actvstrat=,-0.655368, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.596839, best_B_strat=,0.969088, best_S_id=,S00, best_S_prof=,4.711879, best_S_strat=,0.550367, 
t=,7200, id=,B02, PRDE,actvstrat=,0.447307, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.151137, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.834448, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.879630, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.848821, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.137682, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.441337, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.238218, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.205003, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.550880, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,0.447307, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.137682, 
t=,10800, id=,B02, PRDE,actvstrat=,0.447307, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.151137, actvprof=,0.267493, id=,B06, PRDE,actvstrat=,0.834448, actvprof=,1.951612, id=,B08, PRDE,actvstrat=,0.879630, actvprof=,4.915419, id=,B09, PRDE,actvstrat=,-0.848821, actvprof=,2.710758, id=,S00, PRDE,actvstrat=,-0.137682, actvprof=,3.588789, id=,S03, PRDE,actvstrat=,0.441337, actvprof=,1.193300, id=,S05, PRDE,actvstrat=,0.238218, actvprof=,0.090831, id=,S06, PRDE,actvstrat=,0.205003, actvprof=,0.015277, id=,S08, PRDE,actvstrat=,0.550880, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.915419, best_B_strat=,0.879630, best_S_id=,S00, best_S_prof=,3.588789, best_S_strat=,-0.137682, 
t=,14400, id=,B02, PRDE,actvstrat=,-0.869004, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.760290, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.492325, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.507227, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.969088, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.024471, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.653155, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.006056, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.797853, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.469918, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,-0.869004, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.024471, 
t=,18000, id=,B02, PRDE,actvstrat=,-0.869004, actvprof=,0.002778, id=,B05, PRDE,actvstrat=,0.760290, actvprof=,0.371389, id=,B06, PRDE,actvstrat=,-0.492325, actvprof=,0.268056, id=,B08, PRDE,actvstrat=,0.507227, actvprof=,4.117778, id=,B09, PRDE,actvstrat=,0.969088, actvprof=,6.337778, id=,S00, PRDE,actvstrat=,-0.024471, actvprof=,4.655000, id=,S03, PRDE,actvstrat=,-0.653155, actvprof=,0.461667, id=,S05, PRDE,actvstrat=,-0.006056, actvprof=,0.082222, id=,S06, PRDE,actvstrat=,0.797853, actvprof=,0.096667, id=,S08, PRDE,actvstrat=,-0.469918, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.337778, best_B_strat=,0.969088, best_S_id=,S00, best_S_prof=,4.655000, best_S_strat=,-0.024471, 
t=,21600, id=,B02, PRDE,actvstrat=,-0.869004, actvprof=,0.001389, id=,B05, PRDE,actvstrat=,0.760290, actvprof=,0.353333, id=,B06, PRDE,actvstrat=,-0.492325, actvprof=,0.291389, id=,B08, PRDE,actvstrat=,0.507227, actvprof=,4.163472, id=,B09, PRDE,actvstrat=,0.969088, actvprof=,6.385694, id=,S00, PRDE,actvstrat=,-0.024471, actvprof=,4.610556, id=,S03, PRDE,actvstrat=,-0.653155, actvprof=,0.458472, id=,S05, PRDE,actvstrat=,-0.006056, actvprof=,0.064861, id=,S06, PRDE,actvstrat=,0.797853, actvprof=,0.102361, id=,S08, PRDE,actvstrat=,-0.469918, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.385694, best_B_strat=,0.969088, best_S_id=,S00, best_S_prof=,4.610556, best_S_strat=,-0.024471, 
t=,25200, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.083333, id=,B06, PRDE,actvstrat=,0.128955, actvprof=,1.490833, id=,B08, PRDE,actvstrat=,0.319325, actvprof=,4.956389, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.588333, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.179722, id=,S03, PRDE,actvstrat=,0.487241, actvprof=,0.932778, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.062500, id=,S06, PRDE,actvstrat=,0.809810, actvprof=,0.017222, id=,S08, PRDE,actvstrat=,0.246444, actvprof=,0.001667, best_B_id=,B09, best_B_prof=,7.588333, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.179722, best_S_strat=,-1.000000, 
t=,28800, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.047091, id=,B06, PRDE,actvstrat=,0.128955, actvprof=,1.450982, id=,B08, PRDE,actvstrat=,0.319325, actvprof=,4.910034, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.492274, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.228099, id=,S03, PRDE,actvstrat=,0.487241, actvprof=,0.975701, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.073889, id=,S06, PRDE,actvstrat=,0.809810, actvprof=,0.018195, id=,S08, PRDE,actvstrat=,0.246444, actvprof=,0.000833, best_B_id=,B09, best_B_prof=,7.492274, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.228099, best_S_strat=,-1.000000, 
t=,32400, id=,B02, PRDE,actvstrat=,-0.869004, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.944271, actvprof=,0.040279, id=,B06, PRDE,actvstrat=,-0.039183, actvprof=,0.738909, id=,B08, PRDE,actvstrat=,0.850570, actvprof=,4.849579, id=,B09, PRDE,actvstrat=,0.582074, actvprof=,6.091003, id=,S00, PRDE,actvstrat=,-0.778897, actvprof=,2.593128, id=,S03, PRDE,actvstrat=,-0.725552, actvprof=,0.382788, id=,S05, PRDE,actvstrat=,-0.459304, actvprof=,0.055002, id=,S06, PRDE,actvstrat=,-0.171920, actvprof=,0.008889, id=,S08, PRDE,actvstrat=,0.031675, actvprof=,0.000556, best_B_id=,B09, best_B_prof=,6.091003, best_B_strat=,0.582074, best_S_id=,S00, best_S_prof=,2.593128, best_S_strat=,-0.778897, 
t=,36000, id=,B02, PRDE,actvstrat=,-0.869004, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.944271, actvprof=,0.047362, id=,B06, PRDE,actvstrat=,-0.039183, actvprof=,0.659870, id=,B08, PRDE,actvstrat=,0.850570, actvprof=,4.779372, id=,B09, PRDE,actvstrat=,0.582074, actvprof=,5.975500, id=,S00, PRDE,actvstrat=,-0.778897, actvprof=,2.792817, id=,S03, PRDE,actvstrat=,-0.725552, actvprof=,0.381811, id=,S05, PRDE,actvstrat=,-0.459304, actvprof=,0.042917, id=,S06, PRDE,actvstrat=,-0.171920, actvprof=,0.008056, id=,S08, PRDE,actvstrat=,0.031675, actvprof=,0.000278, best_B_id=,B09, best_B_prof=,5.975500, best_B_strat=,0.582074, best_S_id=,S00, best_S_prof=,2.792817, best_S_strat=,-0.778897, 
t=,39600, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.043111, actvprof=,0.746420, id=,B06, PRDE,actvstrat=,0.476013, actvprof=,2.528439, id=,B08, PRDE,actvstrat=,-0.224778, actvprof=,4.083503, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.249747, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.067156, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.186161, id=,S05, PRDE,actvstrat=,0.147520, actvprof=,0.031112, id=,S06, PRDE,actvstrat=,-0.802216, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.249747, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,5.067156, best_S_strat=,-1.000000, 
t=,43200, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.043111, actvprof=,0.754321, id=,B06, PRDE,actvstrat=,0.476013, actvprof=,2.533247, id=,B08, PRDE,actvstrat=,-0.224778, actvprof=,4.109947, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.309875, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.951075, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.161969, id=,S05, PRDE,actvstrat=,0.147520, actvprof=,0.025834, id=,S06, PRDE,actvstrat=,-0.802216, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.309875, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,4.951075, best_S_strat=,-1.000000, 
t=,46800, id=,B02, PRDE,actvstrat=,0.800477, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.280860, actvprof=,0.256677, id=,B06, PRDE,actvstrat=,0.326027, actvprof=,2.116199, id=,B08, PRDE,actvstrat=,0.087044, actvprof=,4.714641, id=,B09, PRDE,actvstrat=,-0.560279, actvprof=,5.334945, id=,S00, PRDE,actvstrat=,-0.160373, actvprof=,2.716502, id=,S03, PRDE,actvstrat=,0.581481, actvprof=,0.638916, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.042502, id=,S06, PRDE,actvstrat=,0.398472, actvprof=,0.005278, id=,S08, PRDE,actvstrat=,0.031675, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.334945, best_B_strat=,-0.560279, best_S_id=,S00, best_S_prof=,2.716502, best_S_strat=,-0.160373, 
t=,50400, id=,B02, PRDE,actvstrat=,0.800477, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.280860, actvprof=,0.250700, id=,B06, PRDE,actvstrat=,0.326027, actvprof=,2.143656, id=,B08, PRDE,actvstrat=,0.087044, actvprof=,4.717459, id=,B09, PRDE,actvstrat=,-0.560279, actvprof=,5.280943, id=,S00, PRDE,actvstrat=,-0.160373, actvprof=,2.657833, id=,S03, PRDE,actvstrat=,0.581481, actvprof=,0.621263, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.045695, id=,S06, PRDE,actvstrat=,0.398472, actvprof=,0.003333, id=,S08, PRDE,actvstrat=,0.031675, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.280943, best_B_strat=,-0.560279, best_S_id=,S00, best_S_prof=,2.657833, best_S_strat=,-0.160373, 
t=,54000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.338121, actvprof=,0.073614, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.232274, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.450185, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.114144, id=,S00, PRDE,actvstrat=,-0.885699, actvprof=,2.587886, id=,S03, PRDE,actvstrat=,0.250406, actvprof=,1.472561, id=,S05, PRDE,actvstrat=,0.388025, actvprof=,0.135561, id=,S06, PRDE,actvstrat=,-0.115304, actvprof=,0.011667, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.114144, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,2.587886, best_S_strat=,-0.885699, 
t=,57600, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.338121, actvprof=,0.076529, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.234331, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.454398, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.143322, id=,S00, PRDE,actvstrat=,-0.885699, actvprof=,2.586998, id=,S03, PRDE,actvstrat=,0.250406, actvprof=,1.479336, id=,S05, PRDE,actvstrat=,0.388025, actvprof=,0.140697, id=,S06, PRDE,actvstrat=,-0.115304, actvprof=,0.011667, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.003611, best_B_id=,B09, best_B_prof=,6.143322, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,2.586998, best_S_strat=,-0.885699, 
t=,61200, id=,B02, PRDE,actvstrat=,0.504029, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.650221, actvprof=,0.498354, id=,B06, PRDE,actvstrat=,-0.808196, actvprof=,0.326680, id=,B08, PRDE,actvstrat=,-0.079399, actvprof=,3.879328, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.011125, id=,S00, PRDE,actvstrat=,0.031554, actvprof=,4.137672, id=,S03, PRDE,actvstrat=,-0.370900, actvprof=,0.252511, id=,S05, PRDE,actvstrat=,0.776411, actvprof=,0.161396, id=,S06, PRDE,actvstrat=,0.681441, actvprof=,0.029168, id=,S08, PRDE,actvstrat=,0.582390, actvprof=,0.003611, best_B_id=,B09, best_B_prof=,7.011125, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,4.137672, best_S_strat=,0.031554, 
t=,64800, id=,B02, PRDE,actvstrat=,0.504029, actvprof=,0.000833, id=,B05, PRDE,actvstrat=,0.650221, actvprof=,0.510007, id=,B06, PRDE,actvstrat=,-0.808196, actvprof=,0.332227, id=,B08, PRDE,actvstrat=,-0.079399, actvprof=,3.753524, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.060237, id=,S00, PRDE,actvstrat=,0.031554, actvprof=,4.229781, id=,S03, PRDE,actvstrat=,-0.370900, actvprof=,0.301671, id=,S05, PRDE,actvstrat=,0.776411, actvprof=,0.148891, id=,S06, PRDE,actvstrat=,0.681441, actvprof=,0.041528, id=,S08, PRDE,actvstrat=,0.582390, actvprof=,0.002917, best_B_id=,B09, best_B_prof=,7.060237, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,4.229781, best_S_strat=,0.031554, 
