B00, 0
B01, 0
B02, 100
B02, Trade, 3664214.146, 76, B02, S01, 1
B02, Trade, 3669082.646, 75, B02, S01, 1
B02, Trade, 3711832.745, 76, B02, S01, 1
B02, Trade, 3723137.045, 75, B02, S01, 1
B02, Trade, 3725567.695, 76, B02, S01, 1
B02, Trade, 3727681.095, 76, B02, S01, 1
B02, Trade, 3728342.195, 75, B02, S01, 1
B02, Trade, 3729510.795, 75, B02, S01, 1
B02, Trade, 3733120.645, 76, B02, S01, 1
B02, Trade, 3740422.295, 76, B02, S01, 1
B02, Trade, 3750094.545, 76, B02, S01, 1
B02, Trade, 3752140.595, 76, B02, S01, 1
B02, Trade, 3756954.395, 75, B02, S01, 1
B02, Trade, 3757520.095, 74, B02, S01, 1
B02, Trade, 3783681.695, 76, B02, S01, 1
B02, Trade, 3802475.495, 76, B02, S01, 1
B02, Trade, 3802988.895, 76, B02, S01, 1
B02, Trade, 3806905.745, 76, B02, S01, 1
B02, Trade, 3806975.145, 76, B02, S01, 1
B02, Trade, 3811732.945, 75, B02, S01, 1
B02, Trade, 3812517.995, 74, B02, S01, 1
B02, Trade, 3824092.645, 74, B02, S01, 1
B02, Trade, 3827668.145, 74, B02, S01, 1
B02, Trade, 3828475.895, 74, B02, S01, 1
B02, Trade, 3833873.645, 76, B02, S01, 1
B02, Trade, 3834585.445, 76, B02, S01, 1
B02, Trade, 3844463.695, 76, B02, S01, 1
B02, Trade, 3850890.545, 75, B02, S01, 1
B02, Trade, 3851029.495, 75, B02, S01, 1
B02, Trade, 3855770.645, 76, B02, S01, 1
B02, Trade, 3860223.845, 75, B02, S01, 1
B02, Trade, 3866458.495, 75, B02, S01, 1
B02, Trade, 3866796.695, 76, B02, S01, 1
B02, Trade, 3868833.145, 76, B02, S01, 1
B02, Trade, 3871093.745, 76, B02, S01, 1
B02, Trade, 3874492.345, 76, B02, S01, 1
B02, Trade, 3883656.895, 76, B02, S01, 1
B02, Trade, 3901260.895, 76, B02, S01, 1
B02, Trade, 3901975.645, 75, B02, S01, 1
B02, Trade, 3918517.895, 75, B02, S01, 1
B02, Trade, 3926437.945, 75, B02, S01, 1
B02, Trade, 3936501.295, 75, B02, S01, 1
B02, Trade, 3940092.895, 75, B02, S01, 1
B02, Trade, 3940272.395, 75, B02, S01, 1
B02, Trade, 3946790.844, 74, B02, S01, 1
B02, Trade, 3959858.444, 75, B02, S01, 1
B02, Trade, 3965958.644, 74, B02, S01, 1
B02, Trade, 3969109.944, 74, B02, S01, 1
B02, Trade, 3977065.744, 75, B02, S01, 1
B02, Trade, 3979156.394, 75, B02, S01, 1
