B00, 0
B01, 0
B02, 100
B02, Trade, 4224213.993, 70, S01, B02, 1
B02, Trade, 4226606.343, 71, S01, B02, 1
B02, Trade, 4226754.093, 75, B02, S01, 1
B02, Trade, 4227826.343, 73, S01, B02, 1
B02, Trade, 4229798.643, 77, B02, S01, 1
B02, Trade, 4230105.093, 74, B02, S01, 1
B02, Trade, 4230299.343, 76, B02, S01, 1
B02, Trade, 4230758.843, 77, B02, S01, 1
B02, Trade, 4231363.243, 68, B02, S01, 1
B02, Trade, 4231797.793, 76, B02, S01, 1
B02, Trade, 4232165.543, 74, B02, S01, 1
B02, Trade, 4232308.043, 73, S01, B02, 1
B02, Trade, 4232319.593, 73, B02, S01, 1
B02, Trade, 4232946.443, 76, B02, S01, 1
B02, Trade, 4233392.993, 74, B02, S01, 1
B02, Trade, 4235190.993, 76, B02, S01, 1
B02, Trade, 4235458.993, 72, B02, S01, 1
B02, Trade, 4238111.443, 75, B02, S01, 1
B02, Trade, 4238761.843, 70, B02, S01, 1
B02, Trade, 4238994.643, 76, B02, S01, 1
B02, Trade, 4239463.343, 69, S01, B02, 1
B02, Trade, 4244115.443, 76, B02, S01, 1
B02, Trade, 4255171.693, 69, S01, B02, 1
B02, Trade, 4255358.593, 77, B02, S01, 1
B02, Trade, 4255583.093, 77, B02, S01, 1
B02, Trade, 4256077.743, 77, B02, S01, 1
B02, Trade, 4256093.143, 74, B02, S01, 1
B02, Trade, 4257092.243, 77, B02, S01, 1
B02, Trade, 4257124.593, 75, B02, S01, 1
B02, Trade, 4257238.243, 77, B02, S01, 1
B02, Trade, 4257389.743, 77, B02, S01, 1
B02, Trade, 4257894.193, 77, B02, S01, 1
B02, Trade, 4258665.693, 77, B02, S01, 1
B02, Trade, 4259002.543, 77, B02, S01, 1
B02, Trade, 4260103.593, 76, B02, S01, 1
B02, Trade, 4260262.243, 77, B02, S01, 1
B02, Trade, 4260802.893, 77, B02, S01, 1
B02, Trade, 4260841.393, 77, B02, S01, 1
B02, Trade, 4261088.543, 77, B02, S01, 1
B02, Trade, 4261753.843, 76, B02, S01, 1
B02, Trade, 4262126.893, 76, B02, S01, 1
B02, Trade, 4262356.393, 76, B02, S01, 1
B02, Trade, 4262649.593, 71, B02, S01, 1
B02, Trade, 4263203.393, 75, B02, S01, 1
B02, Trade, 4264255.543, 73, S01, B02, 1
B02, Trade, 4265014.293, 73, B02, S01, 1
B02, Trade, 4265462.893, 77, B02, S01, 1
B02, Trade, 4266767.793, 76, B02, S01, 1
B02, Trade, 4267630.643, 72, B02, S01, 1
B02, Trade, 4267695.693, 77, B02, S01, 1
B02, Trade, 4268761.693, 75, B02, S01, 1
B02, Trade, 4268917.443, 76, B02, S01, 1
B02, Trade, 4272439.593, 76, B02, S01, 1
B02, Trade, 4272538.443, 77, B02, S01, 1
B02, Trade, 4275656.493, 77, B02, S01, 1
B02, Trade, 4278733.093, 75, B02, S01, 1
B02, Trade, 4279551.243, 77, B02, S01, 1
B02, Trade, 4280069.193, 70, S01, B02, 1
B02, Trade, 4280418.243, 73, S01, B02, 1
B02, Trade, 4280746.993, 73, B02, S01, 1
B02, Trade, 4280846.343, 73, B02, S01, 1
B02, Trade, 4281394.743, 73, B02, S01, 1
B02, Trade, 4285304.743, 76, B02, S01, 1
B02, Trade, 4285418.393, 77, B02, S01, 1
B02, Trade, 4286683.843, 77, B02, S01, 1
B02, Trade, 4287128.343, 77, B02, S01, 1
B02, Trade, 4289618.793, 77, B02, S01, 1
B02, Trade, 4289809.643, 77, B02, S01, 1
B02, Trade, 4289973.093, 77, B02, S01, 1
B02, Trade, 4290081.643, 76, B02, S01, 1
B02, Trade, 4291554.093, 77, B02, S01, 1
B02, Trade, 4295198.543, 76, B02, S01, 1
B02, Trade, 4295335.793, 71, B02, S01, 1
B02, Trade, 4295911.593, 73, B02, S01, 1
B02, Trade, 4296093.443, 76, B02, S01, 1
B02, Trade, 4299150.193, 77, B02, S01, 1
B02, Trade, 4300817.843, 76, B02, S01, 1
B02, Trade, 4300887.343, 76, B02, S01, 1
B02, Trade, 4301835.643, 76, S01, B02, 1
B02, Trade, 4303119.593, 77, B02, S01, 1
B02, Trade, 4303348.493, 77, B02, S01, 1
B02, Trade, 4304276.743, 75, B02, S01, 1
B02, Trade, 4304488.543, 77, B02, S01, 1
B02, Trade, 4305177.193, 75, B02, S01, 1
B02, Trade, 4308395.893, 77, B02, S01, 1
B02, Trade, 4313131.593, 77, B02, S01, 1
B02, Trade, 4313648.993, 77, B02, S01, 1
B02, Trade, 4313918.293, 77, B02, S01, 1
B02, Trade, 4314163.093, 77, B02, S01, 1
B02, Trade, 4314190.443, 77, B02, S01, 1
B02, Trade, 4314768.793, 77, B02, S01, 1
B02, Trade, 4314892.493, 77, B02, S01, 1
B02, Trade, 4315000.743, 77, B02, S01, 1
B02, Trade, 4315947.543, 77, B02, S01, 1
B02, Trade, 4317265.243, 77, B02, S01, 1
B02, Trade, 4317403.043, 77, B02, S01, 1
B02, Trade, 4317643.593, 77, B02, S01, 1
B02, Trade, 4319196.593, 76, B02, S01, 1
B02, Trade, 4319384.643, 77, B02, S01, 1
B02, Trade, 4319704.793, 77, B02, S01, 1
B03, 100
B03, Trade, 4305167.043, 85, B03, S01, 1
B03, Trade, 4305361.343, 85, B03, S01, 1
B03, Trade, 4305405.943, 85, B03, S01, 1
B03, Trade, 4305590.043, 85, B03, S01, 1
B03, Trade, 4305981.593, 85, B03, S01, 1
B03, Trade, 4306097.843, 85, B03, S01, 1
