t=,1, id=,B00, PRDE,actvstrat=,-0.048602, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.900686, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.362963, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.576715, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.099574, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.096389, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.894236, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.764264, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.012277, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.139457, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.048602, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.096389, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.048602, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.900686, actvprof=,0.002222, id=,B06, PRDE,actvstrat=,-0.362963, actvprof=,0.210556, id=,B08, PRDE,actvstrat=,0.576715, actvprof=,4.238889, id=,B09, PRDE,actvstrat=,0.099574, actvprof=,4.950000, id=,S00, PRDE,actvstrat=,0.096389, actvprof=,3.544444, id=,S01, PRDE,actvstrat=,-0.894236, actvprof=,0.138056, id=,S02, PRDE,actvstrat=,-0.764264, actvprof=,0.346111, id=,S08, PRDE,actvstrat=,0.012277, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.139457, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.950000, best_B_strat=,0.099574, best_S_id=,S00, best_S_prof=,3.544444, best_S_strat=,0.096389, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.202545, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.792904, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.231033, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.476470, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.162319, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.237804, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.507072, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.498870, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.543294, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.083900, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.202545, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.237804, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.202545, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.792904, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.231033, actvprof=,0.639436, id=,B08, PRDE,actvstrat=,0.476470, actvprof=,3.866891, id=,B09, PRDE,actvstrat=,-0.162319, actvprof=,3.863557, id=,S00, PRDE,actvstrat=,-0.237804, actvprof=,2.044972, id=,S01, PRDE,actvstrat=,-0.507072, actvprof=,1.038597, id=,S02, PRDE,actvstrat=,-0.498870, actvprof=,0.443049, id=,S08, PRDE,actvstrat=,0.543294, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.083900, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.866891, best_B_strat=,0.476470, best_S_id=,S00, best_S_prof=,2.044972, best_S_strat=,-0.237804, 
t=,14400, id=,B00, PRDE,actvstrat=,0.083699, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.996893, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.085037, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.365838, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.901017, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.461412, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.110528, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.106720, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.880246, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.083900, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.083699, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.461412, 
t=,18000, id=,B00, PRDE,actvstrat=,0.083699, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.996893, actvprof=,0.004722, id=,B06, PRDE,actvstrat=,0.085037, actvprof=,1.021125, id=,B08, PRDE,actvstrat=,-0.365838, actvprof=,2.840039, id=,B09, PRDE,actvstrat=,0.901017, actvprof=,6.922596, id=,S00, PRDE,actvstrat=,0.461412, actvprof=,4.333949, id=,S01, PRDE,actvstrat=,0.110528, actvprof=,2.371977, id=,S02, PRDE,actvstrat=,0.106720, actvprof=,1.171405, id=,S08, PRDE,actvstrat=,-0.880246, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.083900, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.922596, best_B_strat=,0.901017, best_S_id=,S00, best_S_prof=,4.333949, best_S_strat=,0.461412, 
t=,21600, id=,B00, PRDE,actvstrat=,0.083699, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.996893, actvprof=,0.004861, id=,B06, PRDE,actvstrat=,0.085037, actvprof=,0.998896, id=,B08, PRDE,actvstrat=,-0.365838, actvprof=,2.793214, id=,B09, PRDE,actvstrat=,0.901017, actvprof=,6.877131, id=,S00, PRDE,actvstrat=,0.461412, actvprof=,4.457948, id=,S01, PRDE,actvstrat=,0.110528, actvprof=,2.246543, id=,S02, PRDE,actvstrat=,0.106720, actvprof=,1.173619, id=,S08, PRDE,actvstrat=,-0.880246, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.083900, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.877131, best_B_strat=,0.901017, best_S_id=,S00, best_S_prof=,4.457948, best_S_strat=,0.461412, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.277255, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.002222, id=,B06, PRDE,actvstrat=,-0.396301, actvprof=,0.954193, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.025723, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.756049, id=,S00, PRDE,actvstrat=,-0.222328, actvprof=,1.299758, id=,S01, PRDE,actvstrat=,0.894427, actvprof=,4.257618, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.013139, id=,S08, PRDE,actvstrat=,0.571512, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.756049, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.257618, best_S_strat=,0.894427, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.277255, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.001667, id=,B06, PRDE,actvstrat=,-0.396301, actvprof=,0.914318, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.068973, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.731774, id=,S00, PRDE,actvstrat=,-0.222328, actvprof=,1.251962, id=,S01, PRDE,actvstrat=,0.894427, actvprof=,4.274920, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.966569, id=,S08, PRDE,actvstrat=,0.571512, actvprof=,0.000139, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.731774, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.274920, best_S_strat=,0.894427, 
t=,32400, id=,B00, PRDE,actvstrat=,0.481127, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.336059, actvprof=,0.000556, id=,B06, PRDE,actvstrat=,-0.396301, actvprof=,0.423351, id=,B08, PRDE,actvstrat=,-0.459410, actvprof=,2.743170, id=,B09, PRDE,actvstrat=,0.863366, actvprof=,7.016403, id=,S00, PRDE,actvstrat=,-0.552932, actvprof=,1.303110, id=,S01, PRDE,actvstrat=,0.601089, actvprof=,3.625151, id=,S02, PRDE,actvstrat=,-0.498870, actvprof=,0.289734, id=,S08, PRDE,actvstrat=,0.543294, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.184947, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.016403, best_B_strat=,0.863366, best_S_id=,S01, best_S_prof=,3.625151, best_S_strat=,0.601089, 
t=,36000, id=,B00, PRDE,actvstrat=,0.481127, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.336059, actvprof=,0.000278, id=,B06, PRDE,actvstrat=,-0.396301, actvprof=,0.420842, id=,B08, PRDE,actvstrat=,-0.459410, actvprof=,2.783391, id=,B09, PRDE,actvstrat=,0.863366, actvprof=,7.061258, id=,S00, PRDE,actvstrat=,-0.552932, actvprof=,1.336000, id=,S01, PRDE,actvstrat=,0.601089, actvprof=,3.710216, id=,S02, PRDE,actvstrat=,-0.498870, actvprof=,0.298756, id=,S08, PRDE,actvstrat=,0.543294, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.184947, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.061258, best_B_strat=,0.863366, best_S_id=,S01, best_S_prof=,3.710216, best_S_strat=,0.601089, 
