t=,0, id=,B02, PRDE,actvstrat=,-0.620754, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.112415, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.078140, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.584497, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.469334, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.806717, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.541731, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.084351, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.263831, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.799875, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,-0.620754, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.806717, 
t=,3600, id=,B02, PRDE,actvstrat=,-0.620754, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,-0.112415, actvprof=,0.134444, id=,B06, PRDE,actvstrat=,-0.078140, actvprof=,2.396667, id=,B07, PRDE,actvstrat=,-0.584497, actvprof=,3.128056, id=,B09, PRDE,actvstrat=,0.469334, actvprof=,8.641667, id=,S00, PRDE,actvstrat=,0.806717, actvprof=,4.567500, id=,S05, PRDE,actvstrat=,-0.541731, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.084351, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.263831, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.799875, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.641667, best_B_strat=,0.469334, best_S_id=,S00, best_S_prof=,4.567500, best_S_strat=,0.806717, 
t=,7200, id=,B02, PRDE,actvstrat=,-0.164176, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.781200, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.385299, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.837154, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.763064, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.247640, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.927464, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.916899, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.417738, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.581921, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,-0.164176, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.247640, 
t=,10800, id=,B02, PRDE,actvstrat=,-0.164176, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.781200, actvprof=,0.043611, id=,B06, PRDE,actvstrat=,-0.385299, actvprof=,0.780545, id=,B07, PRDE,actvstrat=,0.837154, actvprof=,4.313273, id=,B09, PRDE,actvstrat=,0.763064, actvprof=,7.621561, id=,S00, PRDE,actvstrat=,-0.247640, actvprof=,1.847474, id=,S05, PRDE,actvstrat=,-0.927464, actvprof=,0.013611, id=,S07, PRDE,actvstrat=,0.916899, actvprof=,0.001389, id=,S08, PRDE,actvstrat=,0.417738, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.581921, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.621561, best_B_strat=,0.763064, best_S_id=,S00, best_S_prof=,1.847474, best_S_strat=,-0.247640, 
t=,14400, id=,B02, PRDE,actvstrat=,0.772373, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.183272, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.665995, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.506746, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.260728, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.832562, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.210636, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.806593, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.239299, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.975322, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,0.772373, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.832562, 
t=,18000, id=,B02, PRDE,actvstrat=,0.772373, actvprof=,0.001667, id=,B04, PRDE,actvstrat=,0.183272, actvprof=,0.101389, id=,B06, PRDE,actvstrat=,0.665995, actvprof=,2.915833, id=,B07, PRDE,actvstrat=,0.506746, actvprof=,4.299444, id=,B09, PRDE,actvstrat=,-0.260728, actvprof=,5.656944, id=,S00, PRDE,actvstrat=,0.832562, actvprof=,5.427222, id=,S05, PRDE,actvstrat=,0.210636, actvprof=,0.008333, id=,S07, PRDE,actvstrat=,0.806593, actvprof=,0.003611, id=,S08, PRDE,actvstrat=,0.239299, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.975322, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.656944, best_B_strat=,-0.260728, best_S_id=,S00, best_S_prof=,5.427222, best_S_strat=,0.832562, 
t=,21600, id=,B02, PRDE,actvstrat=,0.772373, actvprof=,0.003750, id=,B04, PRDE,actvstrat=,0.183272, actvprof=,0.113889, id=,B06, PRDE,actvstrat=,0.665995, actvprof=,2.868750, id=,B07, PRDE,actvstrat=,0.506746, actvprof=,4.210972, id=,B09, PRDE,actvstrat=,-0.260728, actvprof=,5.725417, id=,S00, PRDE,actvstrat=,0.832562, actvprof=,5.470139, id=,S05, PRDE,actvstrat=,0.210636, actvprof=,0.012083, id=,S07, PRDE,actvstrat=,0.806593, actvprof=,0.002500, id=,S08, PRDE,actvstrat=,0.239299, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.975322, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.725417, best_B_strat=,-0.260728, best_S_id=,S00, best_S_prof=,5.470139, best_S_strat=,0.832562, 
t=,25200, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.030834, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.593683, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.147615, id=,B09, PRDE,actvstrat=,0.103141, actvprof=,6.289897, id=,S00, PRDE,actvstrat=,0.717306, actvprof=,5.562377, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.026112, id=,S07, PRDE,actvstrat=,0.876848, actvprof=,0.001667, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.289897, best_B_strat=,0.103141, best_S_id=,S00, best_S_prof=,5.562377, best_S_strat=,0.717306, 
t=,28800, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.030139, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.574897, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.144919, id=,B09, PRDE,actvstrat=,0.103141, actvprof=,6.265226, id=,S00, PRDE,actvstrat=,0.717306, actvprof=,5.700218, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.028750, id=,S07, PRDE,actvstrat=,0.876848, actvprof=,0.000833, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.265226, best_B_strat=,0.103141, best_S_id=,S00, best_S_prof=,5.700218, best_S_strat=,0.717306, 
t=,32400, id=,B02, PRDE,actvstrat=,0.504241, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,-0.893451, actvprof=,0.048057, id=,B06, PRDE,actvstrat=,-0.422770, actvprof=,1.843662, id=,B07, PRDE,actvstrat=,0.800501, actvprof=,5.421262, id=,B09, PRDE,actvstrat=,0.142941, actvprof=,7.620489, id=,S00, PRDE,actvstrat=,0.805182, actvprof=,4.582072, id=,S05, PRDE,actvstrat=,0.238816, actvprof=,0.012500, id=,S07, PRDE,actvstrat=,-0.292464, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.417738, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.283371, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.620489, best_B_strat=,0.142941, best_S_id=,S00, best_S_prof=,4.582072, best_S_strat=,0.805182, 
t=,36000, id=,B02, PRDE,actvstrat=,0.504241, actvprof=,0.001111, id=,B04, PRDE,actvstrat=,-0.893451, actvprof=,0.053195, id=,B06, PRDE,actvstrat=,-0.422770, actvprof=,1.890304, id=,B07, PRDE,actvstrat=,0.800501, actvprof=,5.525077, id=,B09, PRDE,actvstrat=,0.142941, actvprof=,7.752330, id=,S00, PRDE,actvstrat=,0.805182, actvprof=,4.527146, id=,S05, PRDE,actvstrat=,0.238816, actvprof=,0.008333, id=,S07, PRDE,actvstrat=,-0.292464, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.417738, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.283371, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.752330, best_B_strat=,0.142941, best_S_id=,S00, best_S_prof=,4.527146, best_S_strat=,0.805182, 
