t=,0, id=,B01, PRDE,actvstrat=,0.753372, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.289350, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.926528, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.010551, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.154089, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.918318, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.728968, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.429377, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.308220, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.206043, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.753372, best_S_id=,S05, best_S_prof=,0.000000, best_S_strat=,-0.918318, 
t=,3600, id=,B01, PRDE,actvstrat=,0.753372, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.289350, actvprof=,0.389722, id=,B06, PRDE,actvstrat=,0.926528, actvprof=,3.546667, id=,B08, PRDE,actvstrat=,-0.010551, actvprof=,5.217778, id=,B09, PRDE,actvstrat=,-0.154089, actvprof=,6.652222, id=,S05, PRDE,actvstrat=,-0.918318, actvprof=,0.014167, id=,S06, PRDE,actvstrat=,-0.728968, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.429377, actvprof=,0.004722, id=,S08, PRDE,actvstrat=,-0.308220, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.206043, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.652222, best_B_strat=,-0.154089, best_S_id=,S05, best_S_prof=,0.014167, best_S_strat=,-0.918318, 
t=,7200, id=,B01, PRDE,actvstrat=,-0.462694, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.399871, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.223950, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.491170, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.894615, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.443139, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.775593, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.374903, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.156934, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.150151, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.462694, best_S_id=,S05, best_S_prof=,0.000000, best_S_strat=,0.443139, 
t=,10800, id=,B01, PRDE,actvstrat=,-0.462694, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.399871, actvprof=,0.566937, id=,B06, PRDE,actvstrat=,0.223950, actvprof=,2.643852, id=,B08, PRDE,actvstrat=,-0.491170, actvprof=,4.650491, id=,B09, PRDE,actvstrat=,0.894615, actvprof=,8.918487, id=,S05, PRDE,actvstrat=,0.443139, actvprof=,0.015833, id=,S06, PRDE,actvstrat=,0.775593, actvprof=,0.008889, id=,S07, PRDE,actvstrat=,-0.374903, actvprof=,0.003056, id=,S08, PRDE,actvstrat=,0.156934, actvprof=,0.000278, id=,S09, PRDE,actvstrat=,-0.150151, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.918487, best_B_strat=,0.894615, best_S_id=,S05, best_S_prof=,0.015833, best_S_strat=,0.443139, 
t=,14400, id=,B01, PRDE,actvstrat=,-0.860433, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.321159, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.827609, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.732607, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.929582, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.079495, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.719594, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.753254, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.502825, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.174253, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.860433, best_S_id=,S05, best_S_prof=,0.000000, best_S_strat=,0.079495, 
t=,18000, id=,B01, PRDE,actvstrat=,-0.860433, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.321159, actvprof=,0.518048, id=,B06, PRDE,actvstrat=,0.827609, actvprof=,2.438855, id=,B08, PRDE,actvstrat=,0.732607, actvprof=,5.512423, id=,B09, PRDE,actvstrat=,0.929582, actvprof=,7.274066, id=,S05, PRDE,actvstrat=,0.079495, actvprof=,0.055555, id=,S06, PRDE,actvstrat=,-0.719594, actvprof=,0.024722, id=,S07, PRDE,actvstrat=,0.753254, actvprof=,0.031944, id=,S08, PRDE,actvstrat=,0.502825, actvprof=,0.007222, id=,S09, PRDE,actvstrat=,-0.174253, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.274066, best_B_strat=,0.929582, best_S_id=,S05, best_S_prof=,0.055555, best_S_strat=,0.079495, 
t=,21600, id=,B01, PRDE,actvstrat=,-0.860433, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.321159, actvprof=,0.506111, id=,B06, PRDE,actvstrat=,0.827609, actvprof=,2.418472, id=,B08, PRDE,actvstrat=,0.732607, actvprof=,5.499167, id=,B09, PRDE,actvstrat=,0.929582, actvprof=,7.232361, id=,S05, PRDE,actvstrat=,0.079495, actvprof=,0.088889, id=,S06, PRDE,actvstrat=,-0.719594, actvprof=,0.014028, id=,S07, PRDE,actvstrat=,0.753254, actvprof=,0.037222, id=,S08, PRDE,actvstrat=,0.502825, actvprof=,0.005556, id=,S09, PRDE,actvstrat=,-0.174253, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.232361, best_B_strat=,0.929582, best_S_id=,S05, best_S_prof=,0.088889, best_S_strat=,0.079495, 
t=,25200, id=,B01, PRDE,actvstrat=,-0.855172, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.163537, actvprof=,1.270851, id=,B06, PRDE,actvstrat=,-0.290290, actvprof=,1.768080, id=,B08, PRDE,actvstrat=,0.265618, actvprof=,6.235642, id=,B09, PRDE,actvstrat=,-0.883234, actvprof=,4.538674, id=,S05, PRDE,actvstrat=,-0.625034, actvprof=,0.006945, id=,S06, PRDE,actvstrat=,0.335507, actvprof=,0.002222, id=,S07, PRDE,actvstrat=,-0.545947, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.118790, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.126687, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.235642, best_B_strat=,0.265618, best_S_id=,S05, best_S_prof=,0.006945, best_S_strat=,-0.625034, 
t=,28800, id=,B01, PRDE,actvstrat=,-0.855172, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.163537, actvprof=,1.259731, id=,B06, PRDE,actvstrat=,-0.290290, actvprof=,1.794179, id=,B08, PRDE,actvstrat=,0.265618, actvprof=,6.237821, id=,B09, PRDE,actvstrat=,-0.883234, actvprof=,4.531420, id=,S05, PRDE,actvstrat=,-0.625034, actvprof=,0.003472, id=,S06, PRDE,actvstrat=,0.335507, actvprof=,0.001111, id=,S07, PRDE,actvstrat=,-0.545947, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.118790, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.126687, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.237821, best_B_strat=,0.265618, best_S_id=,S05, best_S_prof=,0.003472, best_S_strat=,-0.625034, 
t=,32400, id=,B01, PRDE,actvstrat=,0.192012, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.564830, actvprof=,1.313925, id=,B06, PRDE,actvstrat=,-0.767662, actvprof=,0.952526, id=,B08, PRDE,actvstrat=,0.540524, actvprof=,6.429067, id=,B09, PRDE,actvstrat=,-0.077940, actvprof=,6.586850, id=,S05, PRDE,actvstrat=,-0.625034, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.315501, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.101087, actvprof=,0.002222, id=,S08, PRDE,actvstrat=,0.272169, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.347099, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.586850, best_B_strat=,-0.077940, best_S_id=,S07, best_S_prof=,0.002222, best_S_strat=,0.101087, 
t=,36000, id=,B01, PRDE,actvstrat=,0.192012, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.564830, actvprof=,1.390853, id=,B06, PRDE,actvstrat=,-0.767662, actvprof=,1.004597, id=,B08, PRDE,actvstrat=,0.540524, actvprof=,6.453423, id=,B09, PRDE,actvstrat=,-0.077940, actvprof=,6.613842, id=,S05, PRDE,actvstrat=,-0.625034, actvprof=,0.004861, id=,S06, PRDE,actvstrat=,-0.315501, actvprof=,0.001667, id=,S07, PRDE,actvstrat=,0.101087, actvprof=,0.001111, id=,S08, PRDE,actvstrat=,0.272169, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.347099, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.613842, best_B_strat=,-0.077940, best_S_id=,S05, best_S_prof=,0.004861, best_S_strat=,-0.625034, 
