t=,1, id=,B01, PRDE,actvstrat=,-0.787081, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.319143, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.542631, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.900957, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.402920, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.984865, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.843385, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.049785, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.676200, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.418715, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.787081, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.984865, 
t=,3600, id=,B01, PRDE,actvstrat=,-0.787081, actvprof=,0.002222, id=,B02, PRDE,actvstrat=,-0.319143, actvprof=,0.008333, id=,B03, PRDE,actvstrat=,-0.542631, actvprof=,0.042500, id=,B04, PRDE,actvstrat=,-0.900957, actvprof=,0.179167, id=,B09, PRDE,actvstrat=,-0.402920, actvprof=,5.396111, id=,S00, PRDE,actvstrat=,0.984865, actvprof=,5.759722, id=,S01, PRDE,actvstrat=,0.843385, actvprof=,4.295556, id=,S02, PRDE,actvstrat=,-0.049785, actvprof=,1.021667, id=,S03, PRDE,actvstrat=,0.676200, actvprof=,0.804444, id=,S08, PRDE,actvstrat=,0.418715, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.396111, best_B_strat=,-0.402920, best_S_id=,S00, best_S_prof=,5.759722, best_S_strat=,0.984865, 
t=,7200, id=,B01, PRDE,actvstrat=,0.539790, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.370138, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.594873, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.371713, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.729476, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.174866, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.264928, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.517283, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.308862, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.241374, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.539790, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.174866, 
t=,10800, id=,B01, PRDE,actvstrat=,0.539790, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.370138, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.594873, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.371713, actvprof=,0.005278, id=,B09, PRDE,actvstrat=,-0.729476, actvprof=,3.904329, id=,S00, PRDE,actvstrat=,0.174866, actvprof=,5.081878, id=,S01, PRDE,actvstrat=,-0.264928, actvprof=,2.520383, id=,S02, PRDE,actvstrat=,-0.517283, actvprof=,1.212828, id=,S03, PRDE,actvstrat=,-0.308862, actvprof=,0.321402, id=,S08, PRDE,actvstrat=,0.241374, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.904329, best_B_strat=,-0.729476, best_S_id=,S00, best_S_prof=,5.081878, best_S_strat=,0.174866, 
t=,14400, id=,B01, PRDE,actvstrat=,0.539790, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.370138, actvprof=,0.000417, id=,B03, PRDE,actvstrat=,-0.594873, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.371713, actvprof=,0.010278, id=,B09, PRDE,actvstrat=,-0.729476, actvprof=,4.048834, id=,S00, PRDE,actvstrat=,0.174866, actvprof=,5.087328, id=,S01, PRDE,actvstrat=,-0.264928, actvprof=,2.417411, id=,S02, PRDE,actvstrat=,-0.517283, actvprof=,1.143496, id=,S03, PRDE,actvstrat=,-0.308862, actvprof=,0.315145, id=,S08, PRDE,actvstrat=,0.241374, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.048834, best_B_strat=,-0.729476, best_S_id=,S00, best_S_prof=,5.087328, best_S_strat=,0.174866, 
t=,18000, id=,B01, PRDE,actvstrat=,0.889330, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.366146, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.995718, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,-0.913152, actvprof=,0.026390, id=,B09, PRDE,actvstrat=,-0.601345, actvprof=,4.706928, id=,S00, PRDE,actvstrat=,-0.892302, actvprof=,0.968387, id=,S01, PRDE,actvstrat=,0.255652, actvprof=,3.675760, id=,S02, PRDE,actvstrat=,-0.122412, actvprof=,1.191455, id=,S03, PRDE,actvstrat=,0.961945, actvprof=,1.684260, id=,S08, PRDE,actvstrat=,0.952220, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.706928, best_B_strat=,-0.601345, best_S_id=,S01, best_S_prof=,3.675760, best_S_strat=,0.255652, 
t=,21600, id=,B01, PRDE,actvstrat=,0.889330, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.366146, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.995718, actvprof=,0.000556, id=,B04, PRDE,actvstrat=,-0.913152, actvprof=,0.026529, id=,B09, PRDE,actvstrat=,-0.601345, actvprof=,4.573321, id=,S00, PRDE,actvstrat=,-0.892302, actvprof=,0.979749, id=,S01, PRDE,actvstrat=,0.255652, actvprof=,3.678852, id=,S02, PRDE,actvstrat=,-0.122412, actvprof=,1.209478, id=,S03, PRDE,actvstrat=,0.961945, actvprof=,1.719909, id=,S08, PRDE,actvstrat=,0.952220, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.573321, best_B_strat=,-0.601345, best_S_id=,S01, best_S_prof=,3.678852, best_S_strat=,0.255652, 
t=,25200, id=,B01, PRDE,actvstrat=,-0.119702, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.472532, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.811369, actvprof=,0.006389, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.003611, id=,B09, PRDE,actvstrat=,-0.734162, actvprof=,4.304466, id=,S00, PRDE,actvstrat=,0.393531, actvprof=,5.590388, id=,S01, PRDE,actvstrat=,0.221385, actvprof=,3.804431, id=,S02, PRDE,actvstrat=,-0.970513, actvprof=,0.230294, id=,S03, PRDE,actvstrat=,0.582670, actvprof=,1.145357, id=,S08, PRDE,actvstrat=,0.738869, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.304466, best_B_strat=,-0.734162, best_S_id=,S00, best_S_prof=,5.590388, best_S_strat=,0.393531, 
t=,28800, id=,B01, PRDE,actvstrat=,-0.119702, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.472532, actvprof=,0.000139, id=,B03, PRDE,actvstrat=,0.811369, actvprof=,0.006806, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.011667, id=,B09, PRDE,actvstrat=,-0.734162, actvprof=,4.320983, id=,S00, PRDE,actvstrat=,0.393531, actvprof=,5.519636, id=,S01, PRDE,actvstrat=,0.221385, actvprof=,3.706101, id=,S02, PRDE,actvstrat=,-0.970513, actvprof=,0.198340, id=,S03, PRDE,actvstrat=,0.582670, actvprof=,1.178235, id=,S08, PRDE,actvstrat=,0.738869, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.320983, best_B_strat=,-0.734162, best_S_id=,S00, best_S_prof=,5.519636, best_S_strat=,0.393531, 
t=,32400, id=,B01, PRDE,actvstrat=,0.068854, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.842590, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.520309, actvprof=,0.004723, id=,B04, PRDE,actvstrat=,-0.931538, actvprof=,0.041392, id=,B09, PRDE,actvstrat=,-0.631182, actvprof=,4.502875, id=,S00, PRDE,actvstrat=,0.393531, actvprof=,5.787982, id=,S01, PRDE,actvstrat=,0.055614, actvprof=,3.399450, id=,S02, PRDE,actvstrat=,-0.624463, actvprof=,0.891741, id=,S03, PRDE,actvstrat=,-0.498983, actvprof=,0.280023, id=,S08, PRDE,actvstrat=,0.738869, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.502875, best_B_strat=,-0.631182, best_S_id=,S00, best_S_prof=,5.787982, best_S_strat=,0.393531, 
t=,36000, id=,B01, PRDE,actvstrat=,0.068854, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.842590, actvprof=,0.001667, id=,B03, PRDE,actvstrat=,0.520309, actvprof=,0.002778, id=,B04, PRDE,actvstrat=,-0.931538, actvprof=,0.038335, id=,B09, PRDE,actvstrat=,-0.631182, actvprof=,4.456575, id=,S00, PRDE,actvstrat=,0.393531, actvprof=,5.683431, id=,S01, PRDE,actvstrat=,0.055614, actvprof=,3.480978, id=,S02, PRDE,actvstrat=,-0.624463, actvprof=,0.951984, id=,S03, PRDE,actvstrat=,-0.498983, actvprof=,0.248205, id=,S08, PRDE,actvstrat=,0.738869, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.456575, best_B_strat=,-0.631182, best_S_id=,S00, best_S_prof=,5.683431, best_S_strat=,0.393531, 
t=,39600, id=,B01, PRDE,actvstrat=,-0.206828, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.010557, id=,B03, PRDE,actvstrat=,-0.595423, actvprof=,0.005000, id=,B04, PRDE,actvstrat=,0.259692, actvprof=,0.117789, id=,B09, PRDE,actvstrat=,-0.336788, actvprof=,5.448585, id=,S00, PRDE,actvstrat=,0.724574, actvprof=,5.720834, id=,S01, PRDE,actvstrat=,0.396131, actvprof=,3.396164, id=,S02, PRDE,actvstrat=,-0.270753, actvprof=,0.790910, id=,S03, PRDE,actvstrat=,0.860758, actvprof=,1.217063, id=,S08, PRDE,actvstrat=,0.082307, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.448585, best_B_strat=,-0.336788, best_S_id=,S00, best_S_prof=,5.720834, best_S_strat=,0.724574, 
t=,43200, id=,B01, PRDE,actvstrat=,-0.206828, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.008056, id=,B03, PRDE,actvstrat=,-0.595423, actvprof=,0.004028, id=,B04, PRDE,actvstrat=,0.259692, actvprof=,0.095838, id=,B09, PRDE,actvstrat=,-0.336788, actvprof=,5.448043, id=,S00, PRDE,actvstrat=,0.724574, actvprof=,5.823061, id=,S01, PRDE,actvstrat=,0.396131, actvprof=,3.505726, id=,S02, PRDE,actvstrat=,-0.270753, actvprof=,0.757815, id=,S03, PRDE,actvstrat=,0.860758, actvprof=,1.258811, id=,S08, PRDE,actvstrat=,0.082307, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.448043, best_B_strat=,-0.336788, best_S_id=,S00, best_S_prof=,5.823061, best_S_strat=,0.724574, 
t=,46800, id=,B01, PRDE,actvstrat=,-0.955067, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.035642, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.150104, actvprof=,0.001389, id=,B04, PRDE,actvstrat=,0.320577, actvprof=,0.000556, id=,B09, PRDE,actvstrat=,-0.453314, actvprof=,4.441265, id=,S00, PRDE,actvstrat=,-0.649045, actvprof=,3.519231, id=,S01, PRDE,actvstrat=,-0.582711, actvprof=,2.203548, id=,S02, PRDE,actvstrat=,0.395253, actvprof=,2.674427, id=,S03, PRDE,actvstrat=,-0.713654, actvprof=,0.259192, id=,S08, PRDE,actvstrat=,0.750202, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.441265, best_B_strat=,-0.453314, best_S_id=,S00, best_S_prof=,3.519231, best_S_strat=,-0.649045, 
