t=,1, id=,B00, PRDE,actvstrat=,-0.635253, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.441118, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.817747, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.350053, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.425189, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.406184, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.714069, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.583934, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.324545, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.712084, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.635253, best_S_id=,S04, best_S_prof=,0.000000, best_S_strat=,0.406184, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.635253, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.441118, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.817747, actvprof=,0.113611, id=,B05, PRDE,actvstrat=,-0.350053, actvprof=,1.022500, id=,B08, PRDE,actvstrat=,-0.425189, actvprof=,5.240000, id=,S04, PRDE,actvstrat=,0.406184, actvprof=,0.052778, id=,S05, PRDE,actvstrat=,0.714069, actvprof=,0.022778, id=,S06, PRDE,actvstrat=,0.583934, actvprof=,0.000556, id=,S07, PRDE,actvstrat=,0.324545, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.712084, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.240000, best_B_strat=,-0.425189, best_S_id=,S04, best_S_prof=,0.052778, best_S_strat=,0.406184, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.697401, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.740681, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.494626, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.406769, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.516596, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.319930, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.689065, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.962910, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.657551, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.396661, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.697401, best_S_id=,S04, best_S_prof=,0.000000, best_S_strat=,0.319930, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.697401, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.740681, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.494626, actvprof=,0.021389, id=,B05, PRDE,actvstrat=,0.406769, actvprof=,0.865845, id=,B08, PRDE,actvstrat=,0.516596, actvprof=,5.600633, id=,S04, PRDE,actvstrat=,0.319930, actvprof=,0.134724, id=,S05, PRDE,actvstrat=,0.689065, actvprof=,0.023334, id=,S06, PRDE,actvstrat=,0.962910, actvprof=,0.015834, id=,S07, PRDE,actvstrat=,0.657551, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.396661, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.600633, best_B_strat=,0.516596, best_S_id=,S04, best_S_prof=,0.134724, best_S_strat=,0.319930, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.697401, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.740681, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.494626, actvprof=,0.017778, id=,B05, PRDE,actvstrat=,0.406769, actvprof=,0.724727, id=,B08, PRDE,actvstrat=,0.516596, actvprof=,5.374898, id=,S04, PRDE,actvstrat=,0.319930, actvprof=,0.131529, id=,S05, PRDE,actvstrat=,0.689065, actvprof=,0.024445, id=,S06, PRDE,actvstrat=,0.962910, actvprof=,0.026250, id=,S07, PRDE,actvstrat=,0.657551, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.396661, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.374898, best_B_strat=,0.516596, best_S_id=,S04, best_S_prof=,0.131529, best_S_strat=,0.319930, 
t=,18000, id=,B00, PRDE,actvstrat=,0.917457, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.125949, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.517617, actvprof=,0.190283, id=,B05, PRDE,actvstrat=,0.115152, actvprof=,0.914192, id=,B08, PRDE,actvstrat=,-0.861599, actvprof=,2.663130, id=,S04, PRDE,actvstrat=,0.495454, actvprof=,0.028612, id=,S05, PRDE,actvstrat=,0.689065, actvprof=,0.005833, id=,S06, PRDE,actvstrat=,-0.972887, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.544040, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.000454, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.663130, best_B_strat=,-0.861599, best_S_id=,S04, best_S_prof=,0.028612, best_S_strat=,0.495454, 
t=,21600, id=,B00, PRDE,actvstrat=,0.917457, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.125949, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.517617, actvprof=,0.267087, id=,B05, PRDE,actvstrat=,0.115152, actvprof=,0.997514, id=,B08, PRDE,actvstrat=,-0.861599, actvprof=,2.690732, id=,S04, PRDE,actvstrat=,0.495454, actvprof=,0.033473, id=,S05, PRDE,actvstrat=,0.689065, actvprof=,0.003611, id=,S06, PRDE,actvstrat=,-0.972887, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.544040, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.000454, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.690732, best_B_strat=,-0.861599, best_S_id=,S04, best_S_prof=,0.033473, best_S_strat=,0.495454, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.616065, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.891942, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.617841, actvprof=,0.036668, id=,B05, PRDE,actvstrat=,0.344159, actvprof=,0.374182, id=,B08, PRDE,actvstrat=,0.619415, actvprof=,4.820756, id=,S04, PRDE,actvstrat=,0.098065, actvprof=,0.229454, id=,S05, PRDE,actvstrat=,-0.250507, actvprof=,0.010834, id=,S06, PRDE,actvstrat=,0.425085, actvprof=,0.017501, id=,S07, PRDE,actvstrat=,0.267911, actvprof=,0.000833, id=,S08, PRDE,actvstrat=,0.130383, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.820756, best_B_strat=,0.619415, best_S_id=,S04, best_S_prof=,0.229454, best_S_strat=,0.098065, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.616065, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.891942, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.617841, actvprof=,0.034028, id=,B05, PRDE,actvstrat=,0.344159, actvprof=,0.345977, id=,B08, PRDE,actvstrat=,0.619415, actvprof=,4.757011, id=,S04, PRDE,actvstrat=,0.098065, actvprof=,0.270559, id=,S05, PRDE,actvstrat=,-0.250507, actvprof=,0.013889, id=,S06, PRDE,actvstrat=,0.425085, actvprof=,0.016528, id=,S07, PRDE,actvstrat=,0.267911, actvprof=,0.000417, id=,S08, PRDE,actvstrat=,0.130383, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.757011, best_B_strat=,0.619415, best_S_id=,S04, best_S_prof=,0.270559, best_S_strat=,0.098065, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.697401, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.383356, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.433841, actvprof=,0.374743, id=,B05, PRDE,actvstrat=,-0.152099, actvprof=,0.743930, id=,B08, PRDE,actvstrat=,0.523485, actvprof=,6.495916, id=,S04, PRDE,actvstrat=,0.845294, actvprof=,0.052781, id=,S05, PRDE,actvstrat=,0.969989, actvprof=,0.039169, id=,S06, PRDE,actvstrat=,-0.812577, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.657551, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.118600, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.495916, best_B_strat=,0.523485, best_S_id=,S04, best_S_prof=,0.052781, best_S_strat=,0.845294, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.697401, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.383356, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.433841, actvprof=,0.344176, id=,B05, PRDE,actvstrat=,-0.152099, actvprof=,0.745021, id=,B08, PRDE,actvstrat=,0.523485, actvprof=,6.555321, id=,S04, PRDE,actvstrat=,0.845294, actvprof=,0.075835, id=,S05, PRDE,actvstrat=,0.969989, actvprof=,0.031668, id=,S06, PRDE,actvstrat=,-0.812577, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.657551, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.118600, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.555321, best_B_strat=,0.523485, best_S_id=,S04, best_S_prof=,0.075835, best_S_strat=,0.845294, 
