t=,3600, id=,B02, PRDE,actvstrat=,-0.946001, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.632493, actvprof=,0.006111, id=,B04, PRDE,actvstrat=,-0.796039, actvprof=,0.009444, id=,B05, PRDE,actvstrat=,0.467199, actvprof=,0.349444, id=,B06, PRDE,actvstrat=,0.020179, actvprof=,1.014722, id=,S00, PRDE,actvstrat=,-0.845805, actvprof=,0.702500, id=,S01, PRDE,actvstrat=,0.555511, actvprof=,3.977222, id=,S03, PRDE,actvstrat=,-0.245513, actvprof=,0.161667, id=,S06, PRDE,actvstrat=,0.237357, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.164676, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.014722, best_B_strat=,0.020179, best_S_id=,S01, best_S_prof=,3.977222, best_S_strat=,0.555511, 
t=,7200, id=,B02, PRDE,actvstrat=,0.246954, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.750699, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.369004, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.882004, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.544441, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.293926, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.266306, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.886613, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.495956, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.712527, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,0.246954, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.293926, 
t=,10800, id=,B02, PRDE,actvstrat=,0.246954, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.750699, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.369004, actvprof=,0.029444, id=,B05, PRDE,actvstrat=,0.882004, actvprof=,0.729990, id=,B06, PRDE,actvstrat=,-0.544441, actvprof=,0.517493, id=,S00, PRDE,actvstrat=,-0.293926, actvprof=,2.058305, id=,S01, PRDE,actvstrat=,-0.266306, actvprof=,1.327204, id=,S03, PRDE,actvstrat=,0.886613, actvprof=,1.896918, id=,S06, PRDE,actvstrat=,0.495956, actvprof=,0.001389, id=,S07, PRDE,actvstrat=,-0.712527, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,0.729990, best_B_strat=,0.882004, best_S_id=,S00, best_S_prof=,2.058305, best_S_strat=,-0.293926, 
t=,14400, id=,B02, PRDE,actvstrat=,-0.123800, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.096928, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.346632, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.343651, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.771134, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.743207, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.555511, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.598469, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.619687, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.295723, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,-0.123800, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.743207, 
t=,18000, id=,B02, PRDE,actvstrat=,-0.123800, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.096928, actvprof=,0.014167, id=,B04, PRDE,actvstrat=,0.346632, actvprof=,0.114722, id=,B05, PRDE,actvstrat=,0.343651, actvprof=,0.531111, id=,B06, PRDE,actvstrat=,0.771134, actvprof=,2.240000, id=,S00, PRDE,actvstrat=,0.743207, actvprof=,5.813333, id=,S01, PRDE,actvstrat=,0.555511, actvprof=,3.657500, id=,S03, PRDE,actvstrat=,-0.598469, actvprof=,0.141944, id=,S06, PRDE,actvstrat=,-0.619687, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.295723, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.240000, best_B_strat=,0.771134, best_S_id=,S00, best_S_prof=,5.813333, best_S_strat=,0.743207, 
t=,21600, id=,B02, PRDE,actvstrat=,-0.123800, actvprof=,0.002361, id=,B03, PRDE,actvstrat=,0.096928, actvprof=,0.026250, id=,B04, PRDE,actvstrat=,0.346632, actvprof=,0.105000, id=,B05, PRDE,actvstrat=,0.343651, actvprof=,0.531389, id=,B06, PRDE,actvstrat=,0.771134, actvprof=,2.103611, id=,S00, PRDE,actvstrat=,0.743207, actvprof=,5.821250, id=,S01, PRDE,actvstrat=,0.555511, actvprof=,3.544444, id=,S03, PRDE,actvstrat=,-0.598469, actvprof=,0.125694, id=,S06, PRDE,actvstrat=,-0.619687, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.295723, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.103611, best_B_strat=,0.771134, best_S_id=,S00, best_S_prof=,5.821250, best_S_strat=,0.743207, 
t=,25200, id=,B02, PRDE,actvstrat=,-0.304169, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.760346, actvprof=,0.020555, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.060277, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.634713, id=,B06, PRDE,actvstrat=,0.627423, actvprof=,1.482479, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.265455, id=,S01, PRDE,actvstrat=,0.062763, actvprof=,2.726907, id=,S03, PRDE,actvstrat=,0.843970, actvprof=,2.107749, id=,S06, PRDE,actvstrat=,0.458613, actvprof=,0.003333, id=,S07, PRDE,actvstrat=,0.164956, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.482479, best_B_strat=,0.627423, best_S_id=,S00, best_S_prof=,7.265455, best_S_strat=,1.000000, 
t=,28800, id=,B02, PRDE,actvstrat=,-0.304169, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.760346, actvprof=,0.027639, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.050834, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.661671, id=,B06, PRDE,actvstrat=,0.627423, actvprof=,1.510427, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.173661, id=,S01, PRDE,actvstrat=,0.062763, actvprof=,2.699047, id=,S03, PRDE,actvstrat=,0.843970, actvprof=,2.013903, id=,S06, PRDE,actvstrat=,0.458613, actvprof=,0.001667, id=,S07, PRDE,actvstrat=,0.164956, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.510427, best_B_strat=,0.627423, best_S_id=,S00, best_S_prof=,7.173661, best_S_strat=,1.000000, 
t=,32400, id=,B02, PRDE,actvstrat=,-0.525821, actvprof=,0.008334, id=,B03, PRDE,actvstrat=,-0.137730, actvprof=,0.043612, id=,B04, PRDE,actvstrat=,0.369004, actvprof=,0.257785, id=,B05, PRDE,actvstrat=,0.259151, actvprof=,1.047251, id=,B06, PRDE,actvstrat=,-0.544441, actvprof=,1.367816, id=,S00, PRDE,actvstrat=,0.946764, actvprof=,5.290147, id=,S01, PRDE,actvstrat=,0.256692, actvprof=,1.768660, id=,S03, PRDE,actvstrat=,0.886613, actvprof=,0.738632, id=,S06, PRDE,actvstrat=,0.495956, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.447336, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.367816, best_B_strat=,-0.544441, best_S_id=,S00, best_S_prof=,5.290147, best_S_strat=,0.946764, 
t=,36000, id=,B02, PRDE,actvstrat=,-0.525821, actvprof=,0.008333, id=,B03, PRDE,actvstrat=,-0.137730, actvprof=,0.041389, id=,B04, PRDE,actvstrat=,0.369004, actvprof=,0.274170, id=,B05, PRDE,actvstrat=,0.259151, actvprof=,1.123627, id=,B06, PRDE,actvstrat=,-0.544441, actvprof=,1.303768, id=,S00, PRDE,actvstrat=,0.946764, actvprof=,5.370769, id=,S01, PRDE,actvstrat=,0.256692, actvprof=,1.672662, id=,S03, PRDE,actvstrat=,0.886613, actvprof=,0.721260, id=,S06, PRDE,actvstrat=,0.495956, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.447336, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.303768, best_B_strat=,-0.544441, best_S_id=,S00, best_S_prof=,5.370769, best_S_strat=,0.946764, 
t=,39600, id=,B02, PRDE,actvstrat=,0.099410, actvprof=,0.001111, id=,B03, PRDE,actvstrat=,0.642543, actvprof=,0.010834, id=,B04, PRDE,actvstrat=,-0.275779, actvprof=,0.022779, id=,B05, PRDE,actvstrat=,-0.149471, actvprof=,0.281123, id=,B06, PRDE,actvstrat=,0.268209, actvprof=,1.838966, id=,S00, PRDE,actvstrat=,0.368553, actvprof=,3.548203, id=,S01, PRDE,actvstrat=,-0.210311, actvprof=,0.781977, id=,S03, PRDE,actvstrat=,0.578587, actvprof=,0.603358, id=,S06, PRDE,actvstrat=,0.532982, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.140376, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.838966, best_B_strat=,0.268209, best_S_id=,S00, best_S_prof=,3.548203, best_S_strat=,0.368553, 
